County/ Sub-County,Conventional Households,Main Electricity,Pressure,Paraffun Lantern,Paraffin Tin,Gas Lamp,Wood,Torch/Spotlight solar charged,Torch/spot-light Dry cells,Battery Charged,Candle,Battery(Car/Charged),Generator(Diesel/Petrol),Biogas,Not Stated
KENYA,12043016,50.4,0.3,6.6,9.6,0.2,2.8,19.3,5.2,3.8,1.3,0.4,0.1,0,0
Rural,7379282,26.3,0.4,9.4,13.9,0.2,4.3,29.9,8.1,5.8,1,0.6,0.1,0,0
Urban,4663734,88.4,0.2,2.2,2.8,0.1,0.3,2.4,0.7,0.7,1.8,0.1,0,0,0
MOMBASA,376295,85.9,0.5,2.7,6.3,0.1,0,1.5,0.4,0.3,2.2,0.1,0,0,0
CHANGAMWE,46439,87.7,0.4,3.1,3.6,0,0,0.9,0.6,0.4,3.2,0.1,0,0,0
JOMVU,53214,81,0.4,3.7,9.5,0.1,0.1,2.1,0.6,0.3,2.1,0.1,-,0,0
KISAUNI,88159,82.8,0.4,2.9,7.9,0.1,0.1,3.1,0.4,0.2,1.9,0.1,0,0,0
LIKONI,80002,87.2,0.7,2.4,6.4,0.1,0,1,0.3,0.2,1.7,0.1,-,0,0
MVITA,38710,91.1,0.2,1.1,3.8,0.1,0,0.5,0.3,0.4,2.5,0.1,-,-,0.1
NYALI,69771,87.9,0.4,2.8,4.8,0.1,0,0.8,0.5,0.3,2.3,0.1,0,-,0
KWALE,172802,31.5,0.5,6,29.5,0.2,1.7,22.8,2.7,3.9,0.9,0.2,0,0,0
KINANGO,16041,8.5,0.6,5,28.1,0.1,3.2,36.4,6.2,11.1,0.5,0.1,-,-,0
LUNGALUNGA,37276,14.9,0.6,5.9,35.6,0.1,3.8,28,2.9,7.2,0.7,0.2,0,0,0
MATUGA,39124,31.2,0.5,7.9,32.6,0.1,0.4,22.9,2.5,1.1,0.8,0.2,0,-,0
MSAMBWENI,45374,61.8,0.5,3.8,20.1,0.2,0.1,10.2,0.8,0.7,1.4,0.2,0.1,-,0
SAMBURU,34987,20.9,0.5,7.2,32.4,0.2,2.1,27.4,3.4,4.5,0.8,0.4,0,-,0.1
KILIFI,297990,38.5,0.6,6.1,26.7,0.1,1.3,20,2.4,2.9,1.2,0.2,0,0,0
CHONYI,11416,14.2,1.6,7.1,56.5,0.1,0.3,18.9,1.1,0.1,0,0.1,-,-,-
GANZE,23197,5.5,0.4,3.4,24.7,0.1,6,38.5,5.4,15.3,0.5,0.3,0,0,0.1
KALOLENI,36344,31.8,0.5,6.9,32.9,0.1,1.4,21,1.9,2.5,0.7,0.2,0,0,0
KAUMA,3479,6.6,0.1,4.1,45.8,0.3,2.5,33.8,4.1,2.4,0.1,0.1,-,-,-
KILIFI NORTH,39508,45,0.4,6.3,22,0.1,0.1,20.7,2.2,1.4,1.4,0.4,0,-,0
KILIFI SOUTH,53011,59.9,0.7,5.5,22,0.1,0.2,8.7,1.1,0.3,1.3,0.2,0,0,0
MAGARINI,32978,13.9,0.5,7.8,31.7,0.1,3.1,32.2,4.9,4.7,1.1,0.2,0,0,0
MALINDI,73317,50.4,0.6,5.9,18.4,0.2,1,17.1,2.3,2.2,1.7,0.1,0.1,0,0
RABAI,24740,35.8,0.8,7.1,38.3,0.1,0.1,14.7,1.3,0.2,1.2,0.3,-,0,0
TANA RIVER,66984,25.6,0.2,2.4,7.1,0.5,6.8,20.9,12.1,21.7,2.3,0.3,0.1,0,0.1
TANA DELTA,22395,17,0.2,2.7,10.1,0.4,5.6,35.7,15.4,10.8,1.8,0.2,0,0,0
TANA NORTH,26119,29.3,0.2,1.7,2.2,0.6,7,11.9,10.7,32.7,3.2,0.3,0.2,-,0
TANA RIVER,18470,30.7,0.3,3.2,10.3,0.6,7.7,15.7,10,19.4,1.6,0.4,0,0,0.1
LAMU,34231,43.2,0.2,3.6,7.2,0.1,1.4,28.3,5.8,8.3,1.4,0.2,0.2,0,0
LAMU EAST,4476,59.5,0,2,3.5,0.2,0.8,27.4,2.2,3.7,0.6,0.1,-,-,-
LAMU WEST,29755,40.7,0.2,3.9,7.8,0.1,1.5,28.5,6.4,9,1.5,0.2,0.2,0,0
TAITA/TAVETA,94468,47.6,0.3,10.7,9.6,0,0.2,24.4,2.8,2.8,1.2,0.1,0,0,0
MWATATE,23184,40,0.4,11.7,10.9,0,0.1,28.3,3.9,3.6,0.8,0.2,0,-,0
TAITA,14985,45.9,0.3,15.3,10.6,0.1,0.3,22.1,3.1,1.7,0.5,0.1,-,0,0
TAVETA,23417,39.5,0.6,10.6,13.7,0,0.4,26.6,2.4,4.2,1.7,0.2,0,-,0
VOI,32882,59.6,0.2,8,5.3,0,0.1,21.1,2.3,1.7,1.6,0.1,0,-,0
GARISSA,138940,23.5,0.2,0.7,1.5,2.8,11.9,12.7,10.9,32.1,1.4,0.2,2,0.1,0
BALAMBALA,3986,8.4,0.1,1.6,2.8,5.4,23.8,8.1,13.9,35.5,0.4,0.1,-,-,-
DADAAB,35169,7.2,0.2,0.4,1.1,4.7,13.3,20.2,16.2,31.1,1,0.4,4.1,0,0
FAFI,23351,10.2,0.5,0.5,1.3,2.3,13.2,15.8,14.2,34.9,1.2,0.3,5.6,0,0
GARISSA,29790,79.4,0.2,0.4,0.6,0.9,4.6,1.5,2.1,9.9,0.3,0.1,0,0,0.1
HULUGHO,20078,0.5,0,1.1,1.2,1.2,11.8,5.7,12.7,63.7,1.8,0.1,0,0,0
IJARA,18296,18.7,0.2,1.9,4.9,4.1,17,20.8,6.5,21.3,4.1,0.1,0,0.3,0
LAGDERA,8270,3.4,0,0.1,0.2,2.2,11.8,13.3,14.7,53.7,0.4,0.2,0,0,-
WAJIR,126878,14.1,0.1,0.6,0.9,2.8,15.4,11.6,11.2,42.2,0.6,0.1,0.3,0,0
BUNA,6480,0.1,0,1.7,1.1,2.5,24,26.1,11.3,32.7,0.2,0.1,0,0.1,-
ELDAS,13862,7.9,0.1,0.4,0.9,2.8,26.1,13.4,10.9,36.6,0.7,0.2,0,0.1,-
HABASWEIN,31113,15.6,0.1,0.2,0.3,1.8,7.6,15.1,12,45.3,0.6,0.1,1.3,0,0
TARBAJ,9241,1,0.4,0.7,0.7,3.5,35.8,7.7,10,39.7,0.5,-,0,0,-
WAJIR EAST,18282,47.8,0.2,0.6,1.9,6.2,10.2,6.5,6,19.4,1.1,0.1,0.1,0,0
WAJIR NORTH,10478,15.4,0.1,1.3,2.3,3.2,21.5,8.5,12.3,35,0.4,0.1,0,0,-
WAJIR SOUTH,21149,1.4,0,0.6,0.2,1.9,11.6,9,13.6,61,0.6,0,-,0,0
WAJIR WEST,16273,7.7,0.1,0.9,0.8,1.8,12.9,11.1,12.3,51.8,0.4,0.2,0,-,-
MANDERA,123954,15.7,0.2,0.5,1,2.6,26.8,9.9,8.2,34.1,0.8,0.1,0,0,0
MANDERA WEST,14201,7.2,0.3,1.3,1.7,2.8,32.8,12.8,10.6,29.7,0.7,0.1,0,0,0
BANISA,24000,0.3,0.3,0.4,0.7,1.9,45.1,13.2,7.9,29.5,0.6,0.1,0,0,0
KOTULO,9342,6.6,0.1,1.3,1,3.3,19.6,11.7,9.6,45.4,1.1,0.2,0.1,-,-
LAFEY,11380,0.5,0,0.1,0.3,1.9,35.8,5.5,9.9,44.2,1.5,0.1,0,-,-
MANDERA CENTRAL,20795,23.6,0.6,0.7,1.7,4.3,23.2,12.5,6,26.8,0.3,0.1,0,0,0.1
MANDERA EAST,25206,46.4,0.2,0.2,1,3.1,8.6,5.9,6.2,27.3,0.9,0.1,0,0,-
MANDERA NORTH,19030,5.4,0,0.2,0.6,1,25.7,7.8,9.9,48.4,0.8,0.1,-,0,-
MARSABIT,76689,21.3,0.2,2.7,2.8,1.6,14.2,15.1,12.6,28.4,0.9,0.1,0,0.1,0.1
LOIYANGALANI,7646,0.1,0.1,0.7,0.1,0.1,27.3,12.4,21.9,36.9,0.2,0.2,-,-,-
MARSABIT CENTRAL,15658,50.4,0.3,5.4,4.9,0.8,4.8,20.9,7.7,2.9,1.7,0.1,-,-,0
MARSABIT NORTH,7468,0.1,-,0,0.1,0.2,8.7,11.6,23.9,54.9,0.3,0,0,0,-
MARSABIT SOUTH,11563,2,0.1,1,0.2,0,14.7,14.4,24.3,42.2,0.8,0.1,0.1,0,0
MOYALE,17591,45.7,0.3,3.4,4.5,4.1,7.1,13.2,4.4,15.5,1.3,0.1,0,0.4,0
NORTH HORR,9601,1.2,0,0,0.1,0.1,32,5.6,6.4,53.8,0,0.1,0.2,-,0.4
SOLOLO,7162,0.5,0.2,5.9,7,4.3,19.7,27.5,11.2,22.2,1.1,0.2,0,-,0
ISIOLO,53217,40.6,0.3,3.8,3.7,1.2,6.7,9.1,9,24.6,0.7,0.2,0.1,0,0
GARBATULLA,17047,15,0.3,5.9,4,2.8,11.2,14.4,11.6,34.5,0.2,0.2,0,0,0
ISIOLO,27612,61.5,0.4,3.2,4.6,0.5,3.3,6,7.4,11.8,1.2,0.2,0.1,0,0
MERTI,8558,24.5,0,1.8,0.4,0.4,8.8,8.7,9.1,46.3,0.2,0,-,-,-
MERU,423931,40.2,0.5,11,13.9,0.2,1.5,18.8,3.6,8.3,1.5,0.5,0,0,0
BUURI EAST,23737,41.5,0.6,14.9,10,0.2,0.6,23,4.5,3.2,1.1,0.5,0,-,0
BUURI WEST,27905,53.5,0.4,8.6,7.9,0.1,0.4,17.8,4.6,3.7,1.6,1.1,0.2,-,0
IGEMBE CENTRAL,51848,22.3,0.6,12.1,16.1,0.3,2.5,24.3,4,14.9,1.9,1,0,0,0
IGEMBE NORTH,38716,19.6,0.6,9.3,16.4,0.2,4.2,29.1,4.6,13.7,1.8,0.4,0,0,0
IGEMBE SOUTH,43222,36.2,0.3,9.6,12,0.2,1.5,15.8,3.4,18.1,2.2,0.6,0,0,0.1
IMENTI NORTH,57556,73.1,0.2,6.3,7.5,0.1,0.2,8.2,1.3,1.6,1.2,0.1,-,-,0
IMENTI SOUTH,63954,54.4,0.6,10.7,10.9,0.1,0.4,13.5,2.9,4.6,1.5,0.2,0,0,0
MERU CENTRAL,39498,44.3,0.4,11.3,11.6,0.1,0.8,18.8,3.5,7.4,1.3,0.4,0,0,0
TIGANIA CENTRAL,24983,19.5,0.8,14.8,23.2,0.2,2.6,19.2,3.4,14.5,1.4,0.5,-,0,0
TIGANIA EAST,16791,19.2,0.2,14.5,17.5,0.4,5.1,28.2,9.7,4.3,0.6,0.2,0,0,0.1
TIGANIA WEST,35402,23.9,0.6,15.9,28.1,0.3,0.9,23,3.4,2.9,0.7,0.4,0,0,0
MERU NATIONAL PARK,46,93.5,-,-,-,-,-,- ,-,2.2,-,-,4.3,-,-
MT. KENYA FOREST,273,8.8,-,9.5,7.7,0.4,12.8,1.8,8.1,50.2,0.7,-,-,-,-
THARAKA-NITHI,109450,34.7,0.4,9,13.1,0.1,2.1,17.1,3.9,18.2,1.1,0.2,0,0,0
IGAMBANG'OMBE,14383,12.8,0.1,10.4,21.3,0,1.8,23.3,5.9,22.7,1.2,0.3,0,0,0
MAARA,34779,46.6,0.8,12.1,17.3,0.2,0.5,12.3,2.6,6.4,1,0.3,0,0,0
MERU SOUTH,28211,60.9,0.3,11.6,10.9,0.1,0.5,8.8,1.7,3.6,1.4,0.2,0,-,0
THARAKA NORTH,13403,4.2,0.1,2,5.2,0.2,7.1,23.7,6.4,49.8,0.9,0.4,0,0,0.1
THARAKA SOUTH,18603,11.4,0.1,3.4,8.2,0.1,4.3,29,6.2,36.4,0.7,0.1,0,-,0
MT. KENYA FOREST,71,70.4,-,8.5,1.4,-,-,8.5,2.8,4.2,4.2,-,-,-,-
EMBU,182427,47,0.4,8,11.8,0.1,0.4,21.1,2.8,6.6,1.5,0.3,0,0,0
EMBU EAST,39586,51.5,0.4,11.5,17.3,0.1,0.2,13.7,2,1.8,1.2,0.2,0,0,-
EMBU NORTH,24294,63.3,0.5,9.1,17.4,0.1,0.2,5.9,1.1,1,1.2,0.3,-,0,0
EMBU WEST,43126,75.8,0.4,5.7,8.9,0.1,0.1,5.2,0.9,1.2,1.7,0.2,-,-,0
MBEERE SOUTH,45924,23,0.4,7.4,9.1,0.1,0.3,40.9,5.3,11.6,1.3,0.5,0,0,0
MBEERE NORTH,29483,22.8,0.4,6.5,8,0.2,1.3,36.1,4.2,18.1,2,0.4,0,-,0
MT. KENYA FOREST,14,28.6,-,28.6,7.1,-,-,28.6,-,-,7.1,-,-,-,-
KITUI,261814,17.1,0.5,13.8,9.4,0.2,1.9,37.3,6.7,11.7,0.9,0.3,0,0,0
IKUTHA,16579,6.4,0.5,12.5,12.8,0.4,2.3,40.5,7.8,15.3,1.2,0.3,-,-,0
KATULANI,12166,17.7,0.4,12.6,9.2,0.4,1,46.7,9.1,2.3,0.5,0.2,-,-,-
KISASI,10860,12.3,0.8,17.2,16,0.3,0.2,38,9.5,4.7,0.9,0.1,-,0,0
KITUI CENTRAL,29026,48.5,0.5,10.9,6.7,0.2,0.2,24.8,4.1,2,1.6,0.3,0,-,0
KITUI WEST,17465,20.7,0.9,13.5,9.6,0.2,0.3,48.3,4.6,1,0.6,0.3,0,-,-
KYUSO,15969,7.1,0.5,10.7,9.8,0.4,3.3,36.1,6.6,24.5,0.7,0.3,0.1,0,0
LOWER YATTA,15021,10.1,0.6,12.4,7.6,0.3,1.9,52.1,7.5,6.7,0.6,0.3,0,-,0
MATINYANI,11497,23.3,0.5,14.7,12.1,0.1,0.6,39.5,6.7,1.7,0.5,0.2,0,0,-
MIGWANI,18843,15.5,0.6,19.4,9.1,0.1,0.4,48.3,3.8,1.9,0.4,0.6,0,-,0
MUMONI,6451,4,0.4,13.4,10.1,0.1,1.5,39.2,6,24.2,0.9,0.2,0.1,-,0
MUTITU,11490,4.4,0.5,13.9,10.4,0.2,8.4,32.3,6.6,22.1,0.8,0.2,-,-,0.1
MUTITU NORTH,4929,8.3,0.2,11.6,7.9,0,1,43.5,6,20.5,0.7,0.3,-,-,0
MUTOMO,23034,6.5,0.4,14.5,8.6,0.2,4.3,35.3,11.9,17.2,0.8,0.4,0,0,0
MWINGI CENTRAL,26745,26.7,0.6,17.3,9.8,0.1,0.6,32.9,2.7,7,2,0.3,0,0,0
MWINGI EAST,18725,6.7,0.4,12.2,9.8,0.4,2.5,35.6,7.3,24.1,0.5,0.4,0,0,0
NZAMBANI,11276,23.5,0.6,20.1,10.3,0,1,29.1,7.9,5.5,1.4,0.5,0,-,-
THAGICU,3289,1.6,0.1,3.3,1.9,0.1,3.3,27.6,5.7,56.2,0.2,0,-,0.1,-
TSEIKURU,8449,6.4,0.3,5.8,4.7,0.2,5.7,24.2,14.5,37.4,0.7,0.2,0,-,-
MACHAKOS,399523,48.3,0.6,11.6,7.7,0.1,0.2,25.6,2.9,0.9,1.8,0.3,0,0,0
ATHI RIVER,109723,84.7,0.4,3,2.3,0.1,0.1,5.1,0.6,0.4,3.1,0.2,0,0,0.1
KALAMA,14137,26.4,1,17.7,11.1,0.2,0.3,36,5.3,0.9,0.7,0.3,0,0,0
KANGUNDO,26115,38,0.5,16.8,9.7,0.1,0.1,28.8,4.2,0.5,1.1,0.2,0,0,0
KATHIANI,28730,34.7,0.7,18.4,11,0.1,0.3,26.4,6,0.9,1.2,0.2,0,-,0
MACHAKOS,50753,70.4,0.6,9.7,4.6,0,0.1,10.6,1.7,0.3,1.7,0.2,0,0,0
MASINGA,36196,13.2,0.6,15.6,14.4,0.3,0.7,47.8,3.1,2.4,1,0.8,0,0,0
MATUNGULU,44399,38.1,0.7,14.7,9.1,0.2,0.2,31.4,2.4,0.6,1.9,0.6,0,0,0
MWALA,45809,18.8,0.7,14,10.3,0.2,0.3,48.1,5.2,1.4,0.9,0.1,0,-,0
YATTA,43661,23.7,0.8,16.6,10.5,0.2,0.4,40.7,3.9,1.7,1.2,0.3,0,0,0
MAKUENI,243979,20.4,0.7,16,10,0.1,0.3,44,4.2,2.9,1,0.4,0,0,0
KATHONZWENI,18362,7.4,0.5,18.4,7.2,0.1,0.5,56.3,4.9,3.7,0.5,0.6,0.1,-,0
KIBWEZI,47594,18.6,0.7,14.5,14,0.2,0.4,41,3.3,5.4,1.2,0.7,0.1,-,0
KILUNGU,14563,18.2,1.4,18.5,11.6,0.1,0.9,41.6,5,2,0.4,0.2,0,-,0
MAKINDU,21662,31.1,0.8,13.7,11,0.1,0.4,35.8,2.9,2.8,0.9,0.5,0,-,0
MAKUENI,34352,30,0.5,12.2,7.1,0.1,0.2,42.5,4.2,1.8,1.1,0.3,0,0,0
MBOONI EAST,23724,9.6,0.5,14.4,9.4,0.1,0.2,53.3,9.3,2.2,0.8,0.2,0,0,0
MBOONI WEST,24807,14.4,0.4,20.2,11,0.1,0.2,48.5,3,1.2,0.7,0.2,0,-,0
MUKAA,28109,25,0.7,19.5,9.9,0.1,0.3,38.3,2.4,2.1,1.4,0.3,0,0,0
NZAUI,30806,23,0.7,16.1,7.2,0.1,0.3,43.9,4.4,2.9,1,0.3,0,0,0
NYANDARUA,178224,41.3,0.4,15,8.1,0.1,0.1,28.4,2.7,1.1,1.6,1.1,0,0,0
KINANGOP,30847,51.2,0.5,15.7,6,0,0.1,19.5,2.7,0.6,2.2,1.3,0.1,-,0
NYANDARUA SOUTH,25650,39.6,0.4,13,6,0.1,0.1,34,2.9,1.2,1.9,0.9,0,0,0
MIRANGINE,17880,38.2,0.4,19.5,9.5,0,0.2,25.5,2.9,1.2,1.3,1.2,0,0,0
KIPIPIRI,25077,27,0.4,16.4,10.2,0.1,0.2,37.3,3.8,1.7,1.2,1.6,0,0,0
NYANDARUA CENTRA,21852,52.4,0.4,11.7,6.8,0,0.1,22.6,2.3,1.1,1.9,0.7,0,-,0
NYANDARUA WEST,29003,48.7,0.4,13.8,8.4,0.1,0.1,23.9,1.9,0.9,1.3,0.5,0,0,0
NYANDARUA NORTH,27906,30.4,0.4,15.7,10.3,0,0.2,36.3,2.7,1.4,1.1,1.5,0,0,0
ABERDARE NATIONAL PARK,9,100,-,-,-,-,-,- ,-,-,-,-,-,-,-
NYERI,244564,71.8,0.4,8.1,8.1,0.1,0.1,8.4,1.2,0.7,1,0.3,0,0,0
TETU,24122,76.2,0.7,7.8,8.6,0.1,0.1,4.6,0.9,0.3,0.6,0.1,-,0,0
KIENI EAST,36751,59.1,0.3,8.5,9,0,0.2,17.1,2.5,1.7,1,0.6,0,-,0
KIENI WEST,27530,40.2,0.3,12.7,11.4,0.1,0.5,29.2,2.4,1.2,1,0.9,0,0,0
MATHIRA EAST,33945,80.3,0.5,8.1,6,0.1,0.1,2.6,0.6,0.5,1.2,0.1,-,0,0
MATHIRA WEST,18892,71.5,0.4,10.4,9.4,0.1,0.1,5.5,0.9,0.5,0.9,0.1,-,0,0
NYERI SOUTH,28103,82.2,0.3,6.7,6.8,0,0,2.2,0.6,0.2,0.7,0.1,0,0,0
MUKURWE-INI,27036,66.8,0.5,10.7,12.8,0,0.1,7.1,1,0.4,0.5,0.1,-,0,0
NYERI CENTRAL,48036,88,0.3,3.6,4.2,0.1,0,1.6,0.4,0.3,1.3,0.1,0,-,0
MT. KENYA FOREST,101,36.6,-,5.9,6.9,-,6.9,11.9,12.9,17.8,1,-,-,-,-
ABERDARE FOREST,48,87.5,-,-,-,-,-,8.3,-,-,4.2,-,-,-,-
KIRINYAGA,203576,65.3,0.4,9.3,12.5,0,0.1,8.5,1.2,0.9,1.5,0.3,0,0,0
KIRINYAGA CENTRAL,40149,75.8,0.4,7.6,10,0,0.1,3.6,0.8,0.4,1.1,0.1,0,0,0
KIRINYAGA EAST,44509,68.4,0.4,9.2,13.8,0,0.1,4.7,1.1,0.8,1.3,0.1,-,0,0
KIRINYAGA WEST,37951,61.6,0.5,10.9,12,0.1,0.1,11.2,1.3,0.6,1.4,0.3,0,0,0
MWEA EAST,46331,61,0.4,9.2,12.5,0,0.1,11.4,1.5,1.6,2,0.3,0,0,0
MWEA WEST,34613,59.1,0.4,9.5,14.5,0.1,0,12.2,1.1,0.7,1.7,0.7,0,-,0
MT. KENYA FOREST,23,34.8,-,-,17.4,-,-,47.8,-,-,-,-,-,-,-
MURANG'A,317496,60.5,0.5,12.5,14.3,0.1,0.1,9.2,1.2,0.5,0.9,0.2,0,0,0
MURANG'A EAST,34650,63.4,0.4,9.9,13,0.1,0.1,10.3,1.5,0.4,0.7,0.1,0,-,0
KANGEMA,25283,59.5,0.5,15.4,13.6,0.1,0.1,8.7,1.1,0.4,0.6,0.1,0,-,-
MATHIOYA,28372,60.7,0.7,12.1,16.9,0,0.1,7.8,0.8,0.3,0.5,0.1,-,0,0
KAHURO,26778,58.7,0.6,16.4,12.7,0,0.1,8.8,1.6,0.5,0.5,0.1,-,-,0
MURANG'A SOUTH,55878,56.5,0.6,10.5,16.8,0.1,0.2,12.2,1.1,0.5,1.1,0.2,0,0,0
GATANGA,55340,60.1,0.4,11.8,11.2,0,0.1,12.3,1.6,0.7,1.3,0.3,0,0,0
KIGUMO,40528,57.3,0.4,14.7,17,0,0.1,8.2,1,0.4,0.8,0.2,0,-,0
KANDARA,50657,67.4,0.5,12.3,13.7,0,0,3.9,0.7,0.3,0.9,0.1,0,0,0
ABERDARE FOREST,10,40,-,-,10,-,-,20,10,20,-,-,-,-,-
KIAMBU,792333,91.7,0.2,2.6,2.2,0,0,1.2,0.3,0.2,1.5,0.1,0,0,0
GATUNDU NORTH,31452,80.2,0.3,7.3,7,0,0.1,2.8,0.5,0.3,1.3,0.1,0,-,0
GATUNDU SOUTH,35577,90.6,0.3,3.6,3.4,0,0.1,0.3,0.1,0.1,1.3,0,0,-,0
GITHUNGURI,49414,89,0.3,4.7,3.3,0.1,0,0.4,0.3,0.2,1.6,0.1,-,-,0
JUJA,104042,91.2,0.1,2.4,1.6,0,0,2.3,0.4,0.2,1.5,0.1,0,0,0
KABETE,66681,95.1,0.1,1.5,0.9,0,0,0.4,0.2,0.1,1.6,0,0,0,0
KIAMBAA,80316,94,0.2,1.8,1.8,0.1,0,0.4,0.2,0.1,1.3,0,0,0,0
KIAMBU,46816,93.6,0.1,1.9,2,0,0,0.6,0.2,0.1,1.3,0,-,0,0.1
KIKUYU,60619,93.7,0.1,2,1.2,0,0,1.1,0.2,0.1,1.4,0,0,0,0
LARI,38585,82.1,0.4,6.5,5.9,0,0,1.8,0.6,0.3,2,0.2,-,0,0
LIMURU,49096,86.6,0.3,3.9,3.9,0.1,0.1,2.6,0.4,0.3,1.8,0.1,0,0,0
RUIRU,127910,95.8,0.1,0.9,0.8,0,0,0.7,0.2,0.1,1.2,0,-,0,0
THIKA EAST,12736,75.3,0.2,8,5.3,0,0.1,6,1.2,0.8,2.8,0.2,0,-,0
THIKA WEST,89089,95,0.1,1.4,1,0,0.1,0.5,0.2,0.1,1.5,0,0,0,0
TURKANA,162627,8.6,0.1,0.9,1.8,0.3,49.1,6.2,12.1,18.2,1.8,0.2,0.7,0,0.1
KIBISH,5699,0.2,-,-,0.2,0.6,71,1.4,4,22.6,0.1,0,0,0,-
LOIMA,19139,1,0,0.1,0.6,0.1,79.9,2,5.9,8.9,1.2,0,0.1,0.1,0.1
