County/ Sub-County,Conventional Households,Main Electricity,Pressure,Paraffun Lantern,Paraffin Tin,Gas Lamp,Wood,Torch/Spotlight solar charged,Torch/spot-light Dry cells,Battery Charged,Candle,Battery(Car/Charged),Generator(Diesel/Petrol),Biogas,Not Stated
TURKANA CENTRAL,37917,26.6,0.2,2,2.8,0.1,26,5.9,9.8,24.5,1.9,0.2,0,0,0
TURKANA EAST,17887,1.7,0.1,0.4,0.9,0.2,65.2,4.8,8.5,16.9,1.2,0.1,0,0,0.1
TURKANA NORTH,12964,1.4,-,0.1,0.2,0.2,61.1,2.1,7.9,25.8,0.8,0.1,0.3,0,0
TURKANA SOUTH,24281,5.5,0.2,1.1,4,0.3,53.2,8,10.4,15.1,1.7,0.4,0,0,0.1
TURKANA WEST,44740,4.3,0.2,0.7,1.4,0.4,40.5,9.5,21.3,16.4,2.6,0.2,2.3,0.1,0.1
WEST POKOT,115761,11.8,0.2,4.7,5.1,0.2,31.7,15.1,11.8,18.6,0.7,0.1,0,0,0
KIPKOMO,18367,11.7,0.1,7,7.8,0.2,25.1,19.6,8.4,19.2,0.9,0.1,0,-,-
POKOT CENTRAL,21784,2.3,0.1,3.2,2.1,0.2,39.2,8.9,12.5,30.8,0.7,0.1,-,0,0
POKOT NORTH,25736,1.4,0.1,1.9,1.1,0.2,53.7,8.7,14.4,17.8,0.6,0.1,0,0,0.1
POKOT SOUTH,13752,5.8,0.2,5.2,3.3,0.3,19.9,35.5,14.2,15.2,0.4,0.1,-,-,-
WEST POKOT,36122,27.2,0.3,6.2,9.1,0.2,19.4,13.5,10.3,12.8,0.8,0.1,0,0,0
SAMBURU,63951,14.8,0.3,3.3,5.5,0.3,36.3,13.3,9.6,15.7,0.6,0.2,0,0,0
SAMBURU CENTRAL,33720,20.7,0.4,4.6,6.8,0.3,30.9,17.8,9.9,7.3,0.8,0.3,0,0,0
SAMBURU EAST,17307,10.2,0.1,1.2,2,0.2,34.8,7.8,11.7,31.3,0.5,0.1,0,0,-
SAMBURU NORTH,12924,5.5,0.1,2.5,7,0.3,52.4,8.8,6,16.7,0.4,0.2,0,0,0
TRANS NZOIA,222989,37.9,0.4,9.8,16,0.1,0.7,23.9,7.5,1,2,0.7,0,0,0
TRANS NZOIA WEST,47576,48.3,0.4,9,14.5,0.2,0.5,15.8,7.5,0.7,2.6,0.7,0,0,0
TRANS NZOIA EAST,49955,29.1,0.6,10.9,12,0.1,0.7,31.4,11.4,1.6,1.6,0.7,0,0,0
KWANZA,45599,35.6,0.4,10.6,18.4,0.1,0.3,26.5,4.7,0.6,1.9,0.8,0,-,0
ENDEBESS,23246,18.4,0.2,10.9,30.6,0.2,1.7,23.1,10.5,1.8,1.8,0.7,0,0,0
KIMININI,56613,46.7,0.3,8.4,12.8,0.1,0.8,22.4,4.9,0.6,2.1,0.7,0,0,0
UASIN GISHU,301110,63.8,0.2,5,4.4,0.1,0.3,14.9,8.5,0.8,1.7,0.3,0,0,0
AINABKOI,34862,64.9,0.1,4.8,3.2,0,0.4,14.6,9.3,1,1.3,0.2,-,-,0
KAPSERET,59678,82.2,0.2,3.4,2.9,0,0.1,5.7,2.8,0.4,2.1,0.2,0,-,0
KESSES,34623,44.4,0.3,7.9,6.3,0.1,0.6,22.7,14.6,1.2,1.4,0.6,0,0,0
MOIBEN,46602,63.3,0.2,3.9,2.5,0.1,0.5,16.5,10.6,1.1,1.1,0.2,0,0,0
SOY,53758,47,0.2,6.5,7.1,0.1,0.3,22.7,12.5,1,1.9,0.7,0,0,0
TURBO,71587,70.2,0.2,4.8,4.4,0.1,0.1,12.3,5.4,0.5,1.8,0.3,0,0,0
ELGEYO/MARAKWET,99119,24.3,0.3,4.5,3.9,0.1,9.9,25.7,23.7,6.2,1.1,0.2,0,-,0
KEIYO NORTH,21749,40.8,0.2,4.7,3.4,0,5.1,21.2,18.5,4.8,1.1,0.1,-,-,0
KEIYO SOUTH,26740,30.3,0.4,6.1,4,0.1,4.3,26.3,21.5,5.8,0.8,0.2,0,-,0
MARAKWET EAST,21123,9.3,0.1,2.1,1.8,0.2,27.3,23.7,25.4,9.4,0.7,0,0,-,0
MARAKWET WEST,29507,17.6,0.3,4.6,5.8,0.1,6.1,30,28.2,5.3,1.7,0.2,-,-,0
NANDI,199040,30.7,0.3,7.1,11.9,0.1,0.3,28.6,17.8,1.4,1.1,0.6,0,0,0
CHESUMEI,39011,45.1,0.2,8.2,9.5,0,0.2,20.9,12.6,1.1,1.5,0.6,0,0,0
NANDI CENTRAL,34247,40.8,0.4,8,13.6,0.1,0.1,20.3,13.9,1,1.5,0.4,0,0,0
NANDI EAST,29249,34.4,0.4,7,12.9,0.1,0.2,25.6,15.9,1.3,1.6,0.7,0,-,0
NANDI NORTH,35257,18.5,0.2,6.3,8.5,0.2,0.6,39,22.7,2.1,0.8,0.9,0,0,0
NANDI SOUTH,37038,26.5,0.2,6.9,15.2,0.1,0.3,28.8,19.7,1.2,0.8,0.4,0,0,0
TINDERET,24238,13.3,0.2,6,12,0.1,0.4,40.9,23.6,2.1,0.5,0.9,0,-,0
BARINGO,141877,28.3,0.3,6.6,4.8,0.1,18.2,21.9,10.1,8.3,1.1,0.1,0,0,0
BARINGO CENTRAL,23523,48.6,0.4,8.7,4.7,0,5.4,17.5,8.6,5.3,0.6,0,-,0,0
BARINGO NORTH,23345,21.1,0.4,7.8,6.1,0.1,13.6,25.7,14.6,9.8,0.7,0.1,-,-,0
EAST POKOT,14392,2.6,0,0.4,0.5,0.4,77.4,4.9,4.1,9.3,0.3,0,-,-,-
KOIBATEK,30752,48.2,0.3,9.4,6.4,0.1,0.7,21,9.1,2.8,1.5,0.4,0,-,0
MARIGAT,19658,22.7,0.2,5,4.3,0.2,8.4,28.8,16,11.7,2.5,0.1,0,0,0
MOGOTIO,18169,21.2,0.6,8,6.8,0.1,4.2,39.9,10.3,7.9,0.9,0.2,0,-,-
TIATY EAST,12038,2.9,0.1,1.1,1.4,0.2,63.1,7.2,4.6,18.9,0.5,0,0,0,0
LAIKIPIA,145776,42.2,0.3,8.4,9.1,0.1,3.8,26.4,5.3,2.3,1.2,0.7,0.2,0,0
LAIKIPIA CENTRAL,29877,46.2,0.2,8.2,7.8,0.1,0.2,31,3,1.6,1,0.7,0.2,0,0
LAIKIPIA EAST,31311,63.9,0.3,5.2,5.2,0.1,1.3,16.1,4.3,1.5,1.3,0.7,0.1,-,0
LAIKIPIA NORTH,7694,5.3,0.1,3.3,7.8,0.2,30.1,21.5,19.3,9.8,0.3,0.4,1.8,0,0
LAIKIPIA WEST,32821,18.8,0.3,9.8,13.8,0.1,7.4,36.1,7.4,3.7,1.1,1.2,0.3,-,0
NYAHURURU,44073,48,0.3,10.5,9.5,0.1,0.7,24.3,3.6,1.2,1.4,0.6,0,-,0
NAKURU,598237,64.4,0.2,5.8,4.4,0.1,0.4,14.5,6.5,1.2,1.8,0.7,0,0,0
GILGIL,49405,53.6,0.2,8.5,6.6,0.1,0.3,22.4,3.7,1.4,1.9,1.2,0,0,0
KURESOI NORTH,40168,20.1,0.2,8.5,8.3,0.1,0.9,34.8,22,2.3,1.5,1.4,0,-,0
KURESOI SOUTH,34543,17.8,0.1,3.3,3.2,0.1,2.1,30,36.9,4.2,1,1.3,0.1,0,0
MOLO,41439,55.4,0.3,7.6,6.4,0,0.4,17.5,7.7,1.8,2.3,0.6,-,-,0
NAIVASHA,111493,77.1,0.2,4.7,3.5,0.1,0.2,9.9,1.2,0.6,1.9,0.5,0,0,0
NAKURU EAST,60066,95.4,0.2,1.2,0.7,0,0,0.6,0.2,0.1,1.5,0,0,-,0
NAKURU NORTH,61582,80.1,0.3,6.2,3.4,0.1,0.1,6.4,0.9,0.4,1.9,0.3,0,0,0
NAKURU WEST,64429,92.1,0.2,2.1,1.6,0,0,1.5,0.6,0.2,1.6,0,0,0,0
NJORO,61156,51.4,0.2,7.9,5.7,0.1,0.6,19.1,10.4,1.4,2,1.3,0,-,0
RONGAI,52248,56.6,0.3,7.8,5.9,0.1,0.4,19.5,5.4,1.6,2,0.4,0,0,0
SUBUKIA,21708,40.4,0.3,12.1,10.5,0.1,0.4,28.6,3.5,1.9,1.2,1.2,0,0,0
NAROK,238115,19.7,0.2,4.1,5.6,0.2,5.5,37.7,20.1,4.5,1.4,0.9,0.1,0,0
NAROK EAST,24860,23.8,0.4,6.5,9.4,0.4,3,39.8,10.1,4.1,2.2,0.3,0,0,0
NAROK NORTH,59802,42.8,0.2,2.9,3.3,0.2,3.4,32.6,8.6,3.8,1.9,0.2,0.1,0,0
NAROK SOUTH,46549,8.8,0.1,1.5,1.6,0.2,10.2,35.2,32.6,7.3,0.9,1.5,0,0,0
NAROK WEST,37782,6.2,0.3,1.2,1.7,0.2,10.5,43.6,28.3,4.7,1,1.9,0.3,0,0
TRANS MARA EAST,20439,9.2,0.1,3.7,6.9,0.1,1.9,31.5,40.9,4.2,0.6,0.9,0,0,0
TRANS MARA WEST,48683,14.6,0.2,9.2,12.6,0.2,2.4,43.3,12.5,2.7,1.6,0.7,0,0,0
MAU FOREST,-,-,-,-,-,-,-,- ,-,-,-,-,-,-,-
KAJIADO,313218,67.4,0.3,3.9,5,0.1,1,15.5,3.6,1.4,1.7,0.1,0,0,0
ISINYA,71395,85.5,0.3,2.3,3.1,0.1,0,5.9,0.7,0.3,1.6,0.1,0,0,0.1
KAJIADO CENTRAL,37059,41.6,0.3,5.1,8.6,0.2,1.4,32.4,7,1,2.2,0.1,0,0,0
KAJIADO NORTH,100908,94.9,0.1,1.2,1,0.1,0,0.7,0.2,0.2,1.5,0,0,-,0
KAJIADO WEST,42367,40,0.3,2.6,3.7,0.1,3.6,35.2,10.9,2.1,1.3,0.1,0,0,0
LOITOKITOK,45581,36,0.7,11.8,13.7,0.2,2.1,22.7,5.9,4.6,2.1,0.1,0,0,0
MASHUURU,15908,35.3,0.5,5.8,8,0.2,0.3,39.2,4.8,3.1,2.5,0.2,0,-,0
KERICHO,205932,44.9,0.2,5.9,6.3,0.1,0.3,20.9,17.8,1.5,1.4,0.5,0,0,0
BELGUT,34978,61.1,0.2,5.9,4.8,0,0.1,12.4,13.2,0.9,1.1,0.2,-,0,0
BURETI,43098,48.7,0.3,6.5,5.5,0.1,0.2,16.5,19.4,1.5,0.9,0.4,0,0,0
KERICHO EAST,44246,59.5,0.2,4.4,5,0,0.1,14.5,12.2,1.2,2.5,0.4,-,0,0.1
KIPKELION,24676,18.7,0.2,7.1,8.6,0.1,0.6,33.1,28,1.6,0.9,1.1,0,-,0
LONDIANI,31739,33.5,0.3,6.1,5.6,0.1,0.3,28.3,21,2.4,1.5,0.9,0,0,0
SOIN SIGOWET,27195,31.6,0.3,6.2,10.7,0.3,0.9,29.9,17.6,1.4,0.8,0.3,0,-,0
BOMET,187230,22.1,0.2,4.9,3.2,0.1,0.8,33.5,30.1,2.7,0.8,1.5,0,0,0
BOMET EAST,29897,13.6,0.4,4.9,2.5,0.1,2.5,30.5,37.1,4.1,0.5,3.8,0,-,0
CHEPALUNGU,33850,6.6,0.1,3.6,2.4,0,0.9,43.9,37.8,2.7,0.2,1.8,0,-,0
KONOIN,38123,32.6,0.2,4.3,4.3,0.1,0.4,29.7,24.1,2.9,1.1,0.3,0,-,0
SOTIK,47265,24,0.2,4.8,3.5,0,0.4,36.1,27.8,1.6,0.9,0.6,0,0,0
BOMET CENTRAL,38095,29.7,0.1,7.1,3.1,0,0.4,27.1,26.8,2.6,1,1.9,0,-,0
KAKAMEGA,432284,25.1,0.3,8.8,20.5,0.1,0.4,36.7,6.2,0.3,0.8,0.6,0,0,0
BUTERE,36243,17.3,0.2,9.8,24.2,0.1,0.3,41.1,5.8,0.2,0.5,0.5,0,-,0
KAKAMEGA CENTRAL,51956,61.2,0.2,5.6,12.3,0.1,0.2,15.7,2.2,0.3,1.7,0.3,0,0,0
KAKAMEGA EAST,39589,26.4,0.3,9.8,23.3,0.1,0.2,32.3,6.1,0.3,0.7,0.4,0,0,0.1
KAKAMEGA NORTH,50952,14.2,0.4,8.4,18.2,0.1,0.5,42.9,12.6,0.5,0.8,1.2,0,0,0
KAKAMEGA SOUTH,26940,27.6,0.6,8.6,30.7,0.1,0.1,28,3.3,0.3,0.3,0.2,0,-,0
KHWISERO,27681,17,0.2,8.9,24.8,0.1,0.2,43.8,3.9,0.2,0.3,0.4,0,-,0
LIKUYANI,34776,32.9,0.7,10,12.5,0.1,0.7,35.2,5.6,0.3,1.2,0.7,0,0,0
LUGARI,27817,22.9,0.4,9.3,16,0,0.6,42.8,6.1,0.4,0.5,0.8,0,-,0
MATETE,13956,12.6,0.2,12.1,21,0.2,0.6,41.5,9.9,0.4,0.4,1.1,0,-,-
MATUNGU,36414,11.6,0.3,10.3,23.3,0.2,0.7,45.3,6.9,0.3,0.7,0.5,0,0,0
MUMIAS EAST,25995,18.6,0.3,8,23.3,0.4,0.7,41.4,5.3,0.3,1.1,0.6,0,0,0
MUMIAS WEST,27650,29.5,0.4,8.1,20.1,0.2,0.2,35,4.5,0.3,1.1,0.6,0,-,0
NAVAKHOLO,32315,11,0.3,8.7,25,0.1,0.5,44,8.7,0.5,0.6,0.6,0,0,0
VIHIGA,143288,38.4,0.3,8.7,28.2,0,0.2,20,3.2,0.3,0.5,0.2,0,0,0
EMUHAYA,23803,25.4,0.2,9.5,34.2,0,0.2,26.5,3.4,0.2,0.2,0.2,-,-,0
VIHIGA,23359,40.2,0.5,9.2,27,0,0.1,18.9,3,0.2,0.6,0.1,0,0,0
SABATIA,31391,48.8,0.3,8.9,22.6,0,0.1,15.4,3,0.3,0.4,0.1,0,0,0
LUANDA,26766,36.4,0.2,7,33.6,0,0.2,19.8,1.9,0.2,0.4,0.2,0,-,0
HAMISI,37965,38.4,0.2,9.1,25.8,0.1,0.4,20.5,4.4,0.4,0.5,0.2,-,-,0
KAKAMEGA FOREST,4,-,-,50,-,-,-,- ,25,-,25,-,-,-,-
BUNGOMA,357714,21.6,0.4,11.4,18.5,0.2,0.9,36.4,8.2,0.6,1.1,0.7,0,0,0
BUMULA,44922,9.7,0.5,14.3,22.8,0.3,0.5,43,7.5,0.5,0.4,0.5,0,0,0
BUNGOMA CENTRAL,37535,17.2,0.6,12.9,18.6,0.1,0.5,38.8,8.8,0.6,1.2,0.8,0,0,0
BUNGOMA EAST,24798,26,0.3,8.9,14.8,0.1,1,40.2,6.6,0.5,0.7,0.8,0,0.1,0
BUNGOMA NORTH,24940,16,0.7,8.9,14.7,0.1,0.3,43.8,13.1,0.6,0.6,1.2,0,0,0
BUNGOMA SOUTH,69088,43.7,0.4,10.1,14.8,0.2,0.4,23.4,4.8,0.3,1.5,0.4,0,0,0
CHEPTAIS,26007,9.3,0.6,16.5,30.4,0.2,3.1,28.4,7.2,1.1,2.6,0.5,0,-,0
KIMILILI,35053,21.4,0.6,9.5,18.6,0.2,1.2,37.5,8.9,0.5,1,0.8,0,0,0
MT. ELGON,15230,13,0.2,14.6,22.4,0.1,1,33.6,13.3,0.7,0.9,0.2,0,-,0
BUNGOMA WEST,25166,11.9,0.3,13.6,23.1,0.3,1.4,38,9,0.8,0.8,0.7,0,-,0
TONGAREN,21343,14.4,0.3,9.2,11.1,0.1,0.7,53,8.3,0.6,0.9,1.2,0,0,0
WEBUYE WEST,32834,24.2,0.4,9.2,16,0.1,0.2,38.1,9.5,0.5,1.1,0.8,0,-,0
MT. ELGON FOREST,798,0.1,0.1,6.5,3.1,0.1,21.8,19.9,15.3,33,-,-,-,-,-
BUSIA,197944,26.1,0.3,8.7,18.3,0.1,0.4,37.9,5.9,0.5,1.4,0.3,0,0,0
BUNYALA,19028,34.1,0.2,9.5,20.6,0,0,27.3,5,1.1,1.8,0.3,-,-,0
BUSIA,33152,41.1,0.4,7.2,13.8,0.2,0.3,31.7,3.3,0.3,1.6,0.2,-,-,0
BUTULA,32199,17.1,0.4,8,18.9,0.1,0.4,39.5,13.9,0.4,1,0.3,0,-,0
NAMBALE,23889,17.1,0.2,9.8,16,0.1,0.5,47.1,7.7,0.3,1.1,0.2,0,0,0
SAMIA,23813,21.7,0.3,8.5,21.6,0.2,0.1,43.9,1.9,0.4,0.7,0.4,0,0.2,-
TESO NORTH,29314,23.6,0.1,9.8,15.8,0.1,0.6,41.7,5.5,0.5,2,0.4,0,0,0
TESO SOUTH,36549,27.1,0.3,8.9,21.9,0.2,0.7,34.6,3.6,0.5,1.7,0.5,0,-,0
SIAYA,249341,19.7,0.2,6.7,17.1,0.1,0.2,50.8,2.8,0.4,1.4,0.5,0,0,0
SIAYA,57386,21.9,0.2,6.6,18.7,0.1,0.2,48,2.5,0.3,1.3,0.3,0,0,0.1
GEM,44696,19.4,0.2,7.1,19.6,0,0.2,49.5,2.8,0.2,0.6,0.2,0,-,0
UGENYA,33554,14.8,0.3,8.3,22,0.2,0.2,50.3,2.7,0.3,0.7,0.2,0,-,0
UGUNJA,26321,21.9,0.2,7.1,16.9,0.1,0.2,49.9,2,0.2,1.1,0.3,0,-,0
BONDO,50454,24.2,0.3,5.5,11.7,0.2,0.2,49.6,3.2,1,3,1.1,0,0,0
RARIEDA,36930,13.6,0.2,6.1,14.4,0.1,0.3,59.2,3.8,0.4,1.2,0.6,0,-,0.1
KISUMU,296846,52.6,0.3,5.2,12.5,0.1,0.2,26.2,1.6,0.2,1.1,0.1,0,0,0
KISUMU EAST,61499,76.2,0.4,3.7,8.2,0.1,0.1,9.1,0.5,0.1,1.6,0,-,0,0
KISUMU CENTRAL,52163,91.1,0.2,1.8,2.9,0,0,1.9,0.3,0.1,1.6,0,0,0,0
KISUMU WEST,42785,54.9,0.3,6.2,13.5,0,0.2,21.8,1.6,0.2,1.1,0.1,0,-,0
SEME,29404,19,0.2,7.2,19.1,0.1,0.3,50.8,2.1,0.2,0.7,0.2,0,0,0
MUHORONI,36982,27.5,0.2,6.1,18.3,0.2,0.3,43.1,3.1,0.2,0.8,0.1,0,-,0
NYANDO,38460,33.6,0.3,6.2,17.5,0.1,0.2,38.8,2.1,0.1,0.9,0.1,0,-,0
NYAKACH,35553,26.7,0.5,7.7,15.6,0.1,0.2,45.4,3,0.2,0.6,0.1,0,-,0
HOMA BAY,260290,18.4,0.3,6.9,14.4,0.2,0.6,52.5,3.2,0.4,1.2,2,0,0,0
HOMA BAY,28471,41.8,0.2,5.5,10.5,0.1,0.2,36.4,2.4,0.3,1.9,0.7,0,-,0
NDHIWA,47956,7.5,0.2,8.6,20.7,0.2,1,56.8,2.8,0.3,0.6,1.4,0,-,0
RACHUONYO NORTH,41661,16,0.5,6.7,13,0.1,0.4,57.5,3.7,0.3,0.9,0.7,0,0,0
RACHUONYO EAST,27229,17.4,0.3,6.7,14.2,0.1,0.5,57.3,2.5,0.1,0.5,0.2,-,-,0
RACHUONYO SOUTH,30693,29,0.2,5.9,12.8,0.1,0.2,47.8,1.9,0.2,1.3,0.4,0,0,0
RANGWE,26983,15.2,0.2,8.3,15.4,0.3,0.8,54.8,3.5,0.2,0.5,0.7,0,0,0
SUBA NORTH,29662,16.8,0.2,5.9,11.5,0.1,0.6,52,4.8,1.2,2.6,4.2,0.1,0,0
SUBA SOUTH,27635,10.7,0.3,6.3,13.6,0.4,0.9,52.6,3.7,0.8,1.8,8.8,0.1,-,0
MIGORI,238133,23.3,0.3,9,17.3,0.2,0.8,41.3,3.6,0.7,2,1.5,0,0,0
AWENDO,27014,27.2,0.2,8,18.1,0.1,0.2,41.7,2.7,0.2,0.9,0.6,0,0,0
KURIA EAST,17267,8.4,0.3,16.9,24.7,0.6,4.1,33.4,6.7,1.3,0.4,2.9,0,0,0
KURIA WEST,39723,28,0.4,13.5,20.9,0.2,1.4,28.4,3,0.9,2.6,0.7,0,0,0
NYATIKE,39358,10.2,0.3,7.4,14.9,0.2,0.6,50.6,6.1,1.3,3.6,4.8,0,0,0
RONGO,29007,35,0.3,6.3,14,0.2,0.2,40.8,1.8,0.2,0.7,0.4,0,0,0
SUNA EAST,27214,31.2,0.2,6.5,12.8,0.1,0.1,43,3.6,0.3,1.6,0.5,0,0,0.1
SUNA WEST,28839,31.1,0.2,6,14.9,0.3,0.7,39.1,2.5,0.6,3.6,1,0,0,0
URIRI,29711,13,0.6,9.1,20.4,0.1,0.4,51.7,3.1,0.3,0.8,0.6,0,0,0
KISII,307254,39.3,0.4,13.6,20.1,0.1,0.7,20.5,3.1,0.4,1.2,0.4,0,0,0
ETAGO,18610,10,0.3,15.8,24.6,0.2,2.2,39.8,3.1,0.5,2.1,1.3,0,-,0
GUCHA,19621,35.1,0.4,13.7,16,0.1,0.5,26.3,5.5,0.6,1.3,0.4,0,0,0
GUCHA SOUTH,19627,28.7,0.3,14.4,24.1,0.2,0.7,24.5,5.2,0.5,0.9,0.4,-,-,0
KENYENYA,30985,24.5,0.5,15.6,20.6,0.1,1.2,30.6,3.8,0.4,1.9,0.7,0,0,0
KISII CENTRAL,44037,64.7,0.6,9.5,11.9,0.1,0.3,9.6,1.8,0.4,1,0.2,0,-,0
KISII SOUTH,31574,46.8,0.4,10.5,22.4,0.2,1.4,13.8,3.4,0.3,0.5,0.3,0,0,0
KITUTU CENTRAL,41233,63.5,0.2,8,14,0.2,0.1,11.2,1,0.3,1,0.3,0,0,0
MARANI,26133,23.3,0.5,17.1,29.9,0.1,0.3,22.1,4.8,0.4,0.9,0.6,0,0,0
MASABA SOUTH,29206,33.4,0.2,16.4,21.8,0,0.3,21.8,3.9,0.3,1.4,0.3,0,-,0
NYAMACHE,30583,27.7,0.5,19.8,22.6,0.3,0.8,23.8,2.3,0.3,1.7,0.3,0,0,0
SAMETA,15645,32.7,0.3,16,24.6,0.1,0.5,21.9,2.3,0.2,0.8,0.6,-,-,0
NYAMIRA,150499,42.9,0.5,16.1,19.5,0.1,0.9,15.5,2.7,0.6,0.7,0.4,0,0,0
BORABU,19404,44.1,0.9,15.6,16.1,0.3,0.8,17,2.9,1,1,0.4,0,0,0
MANGA,23836,44.2,0.7,17.5,15.8,0.1,0.6,17.2,2.6,0.5,0.4,0.3,0,-,0
MASABA NORTH,27904,39.6,0.5,17.1,21.5,0.2,0.8,15.3,3.1,0.5,0.7,0.6,0,0,0
NYAMIRA NORTH,40396,37.7,0.4,16.2,22.1,0.1,1.2,18,2.7,0.6,0.8,0.3,-,0,0
NYAMIRA SOUTH,38959,49.4,0.4,14.9,19.5,0.1,0.9,11.1,2.1,0.4,0.8,0.3,0,0,0
NAIROBI CITY,1494676,96.5,0.1,0.8,0.8,0,0,0.2,0.1,0.1,1.3,0,0,0,0.1
DAGORETTI,154949,96.7,0.1,0.8,1,0,0,0.1,0.1,0.1,1,0,0,0,0.1
EMBAKASI,346462,97.1,0.1,0.7,0.6,0,0,0.1,0.1,0.1,1.2,0,0,0,0
KAMUKUNJI,83680,95.6,0.1,0.7,0.8,0.1,0.2,0.1,0.1,0.1,2,0,0,0,0.1
KASARANI,268611,97.1,0.1,0.7,0.6,0.1,0,0.2,0.1,0.1,1,0,0,0,0
KIBRA,61651,94.2,0.1,1.2,2.1,0,0,0.3,0.1,0,1.7,0,-,0,0
LANG'ATA,60187,93.8,0.1,1.3,1.9,0,0,0.7,0.2,0.2,1.6,0,0,0,0.1
MAKADARA,70080,95.3,0.2,1.2,0.9,0,0,0.1,0.1,0.1,2,0,-,-,0
MATHARE,74967,95.3,0.2,0.8,1.6,0,0,0.1,0.1,0.1,1.8,0,0,0,0.1
NJIRU,204492,96.9,0.1,0.7,0.4,0.1,0,0.4,0.1,0.1,1.1,0,0,0,0.1
STAREHE,66108,97,0.1,0.5,0.7,0,0,0.1,0.1,0.1,1.3,0,-,-,0.1
WESTLANDS,103489,97.1,0.1,0.6,0.7,0,0,0.3,0.1,0.1,0.9,0,0,0,0
