"County/ Sub-County","Conventional Households","Pond(%)","Dam/Lake(%)","Stream/River","Protected Spring","Unprotected Spring","Protected Well","Unprotected  Well","Borehole/ Tube well","piped into  dwelling","Piped to yard/ Plot","Bottled water","Rain/ Harvested water","Water Vendor","Public tap/ Standpipe","Not Stated"
"KENYA",12043016,1.6,3.3,16.8,7.1,2.4,7,2.6,9.9,10.1,14.1,2.8,3.9,8.5,9.9,0
"Rural",7379282,2.4,4.9,25.8,10.5,3.7,9,4,11.8,5.1,7.8,0.3,5,3.3,6.4,0
"Urban",4663734,0.2,0.8,2.6,1.8,0.3,4,0.5,6.8,18.1,23.9,6.7,2,16.7,15.6,0
"MOMBASA",376295,0.1,0.2,0.1,1.2,0.1,4.6,0.4,5.2,7.2,5.2,11.4,0.3,43.5,20.5,0
"CHANGAMWE",46439,0,0,0.1,0.8,0.1,1.2,0.1,1.2,4,4.2,5.2,0.1,59.9,23.3,0
"JOMVU",53214,0.1,0.1,0.1,0.8,0.2,1.5,0.4,1.1,5.2,4.3,4.7,0.2,53.4,27.8,0
"KISAUNI",88159,0.2,0.3,0.2,2.2,0.1,4,0.8,8.2,11.8,9.2,10.5,0.3,21.6,30.7,0
"LIKONI",80002,0.1,0.3,0.2,0.7,0.4,11.6,0.5,6.7,4.1,2.4,4.9,0.5,60.7,7,0
"MVITA",38710,0,0,0,0.7,0,2.6,0.1,5,9.6,3.3,32.1,0.1,36.6,9.9,0.1
"NYALI",69771,0,0.1,0.1,1.6,0.1,3,0.1,5.7,7.4,5.9,17.8,0.1,36.7,21.5,0
"KWALE",172802,17.2,10.4,3.2,1.3,1.7,10.3,8.3,12.7,4.3,5.5,2.1,1.7,2.9,18.3,0
"KINANGO",16041,55.1,20.9,0.9,0.2,0.4,0,1,0.2,2.8,4.2,0.1,0.7,1.1,12.3,0
"LUNGALUNGA",37276,17.1,24.7,5.1,0.4,1.7,10.9,19.7,11.7,0.3,0.3,0.7,3.9,1.6,1.9,0
"MATUGA",39124,20.2,1.4,5.6,1.3,3.5,11.5,8.3,13.1,5.9,6.3,0.6,2.4,2.3,17.6,0
"MSAMBWENI",45374,0.7,0.5,0.6,1.5,1.5,20.1,7.3,27.4,6.2,4.5,6.7,0.5,4.3,18.1,0
"SAMBURU",34987,18,13.4,2.8,2.6,0.4,0.1,0.8,0,4.8,12.3,0.2,0.8,3.7,39.7,0.1
"KILIFI",297990,6,6.8,2.6,0.8,0.6,4.4,3.5,4,10.2,13.2,2,0.4,9.6,36,0
"CHONYI",11416,6,2.2,2.3,1.8,1.7,0.3,6.5,0.1,2.6,11.8,0,0.2,7.9,56.5,"-"
"GANZE",23197,24.7,19.4,1.4,0.6,0.9,0.1,1.7,0.3,3.5,9.4,0.3,0.8,2.1,34.7,0.1
"KALOLENI",36344,20.2,26.1,2.2,0.9,1.3,1.8,5.1,0.8,7.9,8.2,0.3,0.6,6.3,18.3,0
"KAUMA",3479,1.7,4.1,3,0.6,0.1,0.5,1.1,0.3,3.2,10.7,0.1,0.1,0.2,74.2,"-"
"KILIFI NORTH",39508,0.1,0,0.2,0.5,0.1,3,1.3,4.6,13.4,18.8,2.4,0.5,9.9,45,0
"KILIFI SOUTH",53011,1.6,0.5,0.4,0.6,0.3,14.4,2.1,9.5,6.7,9.3,6.8,0.4,12.6,34.9,0
"MAGARINI",32978,7.9,10.9,8.3,0.9,0.2,7.5,14.2,5.7,1.1,2,0.2,0.7,17.3,23.1,0
"MALINDI",73317,0.1,0.4,3.8,0.6,0.1,0.9,0.2,3.8,20.2,20.3,1.4,0.2,7.7,40.3,0
"RABAI",24740,2.1,7.4,2.4,1.1,1.9,1.7,3.3,0.5,9.1,18.2,0.2,0.3,11.6,40.3,0
"TANA RIVER",66984,2.6,9.8,19.5,1.1,0.5,9.8,7.5,22.1,2.9,7.8,0.4,0.1,5.1,10.8,0.1
"TANA DELTA",22395,1.4,3.5,17.4,1.2,0.3,14.8,6.9,30.8,3,5,0.3,0.2,3.8,11.4,0
"TANA NORTH",26119,3.8,13.6,21.2,1.3,0.9,1.7,5.6,21.7,2.1,9.6,0.5,0.1,8.5,9.4,0
"TANA RIVER",18470,2.3,12,19.5,0.8,0.1,15.2,11,12.1,3.8,8.7,0.4,0,1.9,12.1,0.1
"LAMU",34231,4.2,1.8,1.1,1.4,0.5,17.3,16.6,7,8.4,3.7,2.5,10.2,7,18.3,0
"LAMU EAST",4476,0.3,"-",1.9,0.2,0.3,9.3,11.5,3.3,0,0,0.5,68.5,1.6,2.6,"-"
"LAMU WEST",29755,4.8,2.1,1,1.5,0.6,18.5,17.4,7.5,9.7,4.2,2.8,1.4,7.8,20.6,0
"TAITA/TAVETA",94468,0.2,1.3,15.4,3.6,1.9,1.9,1,5.1,12,24.1,0.4,1.3,11.4,20.3,0
"MWATATE",23184,0.4,1.4,21.2,2.8,1.2,0.7,0.3,6.2,6.2,14.8,0.6,1.8,16,26.5,0
"TAITA",14985,0.5,1.8,38.1,4.4,5.1,0.5,1.3,1.4,10.8,15.1,0.2,2.9,1.9,16.1,0
"TAVETA",23417,0.1,1.5,13.8,4.8,2.1,6.2,1.9,9.6,13.2,25.4,0.2,0.1,6.5,14.7,0
"VOI",32882,0,0.9,2,2.8,0.7,0.3,0.9,3,15.9,33.8,0.5,1.2,16,21.9,0
"GARISSA",138940,12.6,17.9,8.8,0.9,0.5,2.4,3.4,26.3,3.4,8.6,0.5,0.4,3.1,11.2,0
"BALAMBALA",3986,11.4,13.5,47.5,1.5,1,4.3,8,2.6,0.7,5.6,0,0.3,3,0.6,"-"
"DADAAB",35169,3.7,9.1,0.7,1.7,0.7,1.4,0.7,58.4,2.7,5,0.7,0.3,1.4,13.5,0
"FAFI",23351,5.4,19.8,6.2,0.3,0.1,1.4,0.7,45.6,0.9,1.9,0.5,0.3,0.5,16.4,0
"GARISSA",29790,2.3,4.4,17.2,0.7,0.2,1.9,1,5.4,9.8,28.1,0.6,0.5,9.6,18.3,0.1
"HULUGHO",20078,64.5,32.1,0,0,0.1,0.6,1.4,0.1,0,0,0.5,0.5,0,"-",0
"IJARA",18296,3.6,37.3,17,1.5,1.3,4.4,11.3,2.5,3,6.2,0.3,0.5,2.6,8.3,0
"LAGDERA",8270,2.1,23.4,4.7,0.2,1.5,9.4,16.2,37.5,0.3,0.2,0.1,1.1,3.1,0.1,"-"
"WAJIR",126878,5.8,28,0.3,0.6,0.6,11.1,8.8,31.7,1.4,1.9,0.6,0.3,7.2,1.6,0
"BUNA",6480,1.6,58.7,0.2,1.1,0.7,2.7,6.6,6.5,0.6,1.7,0.1,2.5,16.1,0.9,"-"
"ELDAS",13862,5.1,32.4,0.7,1,1.3,6.1,5.8,28.5,1.2,1.2,0.4,0.2,13.1,3.1,"-"
"HABASWEIN",31113,1.4,7.3,0.4,0.4,0.3,1.5,0.7,73.9,3.5,4.9,0.4,0.1,2.4,2.7,0
"TARBAJ",9241,3.5,47.5,0.2,0.3,0.3,9.6,11.3,25.1,0.1,0,0.1,0.2,1.1,0.7,"-"
"WAJIR EAST",18282,1.5,2.1,0.4,1.8,1.4,49,25.5,9.4,0.6,0.7,2.5,0.2,3.6,1.4,0
"WAJIR NORTH",10478,31.1,57.8,0.2,0.4,0.2,0.4,3.7,4.8,0,0,0.4,0.6,0.4,0.3,"-"
"WAJIR SOUTH",21149,6,56.9,0.1,0.1,0.3,5.6,7.5,12,0.2,0.1,0.2,0.1,10.8,0.1,0
"WAJIR WEST",16273,5.7,13.1,0.3,0.4,0.5,9.5,12.5,35.7,1.6,3.1,0.4,0.1,15.4,1.8,"-"
"MANDERA",123954,12.6,22.6,7.7,0.6,0.3,6.8,4.1,21.3,1.1,2.3,0.4,0.9,16.7,2.6,0
"MANDERA WEST",14201,26.8,64.4,0.2,0.1,0,0.6,0.3,1.8,0.1,0.3,0.9,1.5,2.1,0.8,0
"BANISA",24000,38.7,35.9,2.7,0.1,0.1,0.3,0.6,5.2,0,0,0.1,2.3,13.7,0,0
"KOTULO",9342,0.5,12.4,0.4,0.5,0.6,2.5,5.2,75.7,0.5,0.2,0.1,0.1,0,1.2,"-"
"LAFEY",11380,4.3,20,4.5,0.3,0.6,3,1.2,52.1,1.6,1.2,0.4,0.2,6.2,4.4,"-"
"MANDERA CENTRAL",20795,1.5,13.8,0.2,0.5,0.5,30.5,14,34.4,0.7,0.3,0.2,0.3,2.4,0.6,0.1
"MANDERA EAST",25206,3.9,4.6,13.5,1.6,0.1,4.8,4.9,5.4,1.8,3.7,0.8,0.5,47.3,7,"-"
"MANDERA NORTH",19030,3.5,14.5,25.8,0.2,0,0.9,0.8,17.5,2.8,8.9,0.2,0.6,21.2,3.1,"-"
"MARSABIT",76689,1.2,15.7,1.7,1.4,0.9,9.1,18,23.2,0.7,1.2,0.6,2.9,16,7.3,0.1
"LOIYANGALANI",7646,0.4,15.9,5.7,7.6,3.4,7,19.6,16,1.3,4.5,0,1.2,0.4,16.9,"-"
"MARSABIT CENTRAL",15658,0,3.8,0.4,1.1,1.3,8,7.5,10,0.8,1.6,2,3.1,46.2,14.2,0
"MARSABIT NORTH",7468,0,9.3,0.4,0.4,0.2,14.5,7.6,40.3,0.1,1,0.2,9.6,10,6.5,"-"
"MARSABIT SOUTH",11563,0.8,5.3,5.6,0.2,0.3,5.6,26.8,44.2,1.9,2.2,0.3,2.6,1.2,2.9,0
"MOYALE",17591,2.6,28,0.2,0.1,0.2,10,9.4,22.2,0.3,0.1,0.4,2.9,22.8,1,0
"NORTH HORR",9601,0.8,1.5,1.4,0.8,1.1,15.7,59.8,7.2,0.2,0.1,0,0.1,0.4,10.6,0.4
"SOLOLO",7162,3.4,54.2,0.1,2.4,0.3,2.9,0.5,32.3,0.1,0.1,0.4,1.9,0.6,0.8,0
"ISIOLO",53217,0.6,3.1,17.7,1.2,1.9,3.9,8.5,12,6,27.2,0.7,0.5,3.9,12.7,0
"GARBATULLA",17047,0.6,5.3,25.6,1.4,5.4,9.5,16.5,13.4,2,7.3,0.1,0.7,1.1,11,0
"ISIOLO",27612,0.2,2,16.6,1.2,0.2,1,2.2,6.6,9.8,39,1.2,0.5,5.8,13.6,0
"MERTI",8558,1.5,2.3,5.6,0.5,0.7,2,13.1,26.7,2,28.8,0.1,0,3.5,13.2,"-"
"MERU",423931,0.3,0.2,21.5,2.4,1.9,2,1.4,7.5,17.9,24.6,0.8,1.4,11,6.8,0
"BUURI EAST",23737,0.1,0.1,3.8,2.1,0.6,1.2,0.8,7.5,18.7,29.4,0.7,2.2,17.8,15,0
"BUURI WEST",27905,0.1,0.3,14.7,2.8,0.9,1.2,0.5,2.3,21.8,37.5,0.5,2.2,7.6,7.5,0
"IGEMBE CENTRAL",51848,0.3,0.3,19.9,2.5,3,1.6,1.3,21.1,6.9,9.9,0.9,1.1,22.5,8.6,0
"IGEMBE NORTH",38716,0.3,0,0.8,1,0.6,1.1,0.9,16.5,3.7,3.2,1.5,8.2,55.1,6.9,0
"IGEMBE SOUTH",43222,0.4,0.4,38.6,3.1,5.1,2.5,2.4,2.7,12.3,20.1,0.9,0.8,3.8,6.7,0.1
"IMENTI NORTH",57556,0.1,0.1,15.1,2.3,1.1,1,0.8,1.6,30.1,40.7,0.7,0.2,1.8,4.4,0
"IMENTI SOUTH",63954,0.2,0.2,17,1.3,1,0.5,0.8,1.3,30.2,40.5,1.2,0.5,0.8,4.5,0
"MERU CENTRAL",39498,0.2,0.3,25.6,2.3,1.3,0.7,1.7,2.2,28.2,32.2,0.5,0.6,1.1,3.1,0
"TIGANIA CENTRAL",24983,1.2,0.3,49.2,1.4,2.8,0.8,2.7,0.4,15.9,19.9,0.5,0.2,0.7,3.8,0
"TIGANIA EAST",16791,0.7,0.7,34.7,3.9,1.4,3.5,2.9,10.7,8.3,11.1,1.2,0.3,6.8,13.6,0.1
"TIGANIA WEST",35402,0.4,0.4,30.2,5.2,3,10,2,18.1,5.3,8.1,0.4,0.2,6.9,9.7,0
"MERU NATIONAL PARK",46,"-","-","-",8.7,"-","-","- ","-",91.3,"-","-","-","-","-","-"
"MT. KENYA FOREST",273,1.1,0.4,73.6,0.4,1.5,"-",0.7,2.6,4.4,9.5,"-","-","-",5.9,"-"
"THARAKA-NITHI",109450,0.4,0.1,34.6,0.6,1,3,3.1,5.1,18.8,24.1,0.3,0.3,1.8,6.9,0
"IGAMBANG'OMBE",14383,0.4,0.2,65.6,0.4,2,1,2.1,1.7,10.2,11.4,0.3,0.3,2.3,2.1,0
"MAARA",34779,0.3,0,17.3,0.8,0.8,1.8,0.4,0.9,29.1,36.4,0.3,0.3,1.6,9.9,0
"MERU SOUTH",28211,0.4,0,18.3,0.7,0.8,7.5,1.8,3.7,25.1,35.5,0.5,0.3,1.1,4.1,0
"THARAKA NORTH",13403,1.3,0.2,68,0.2,1.1,1.2,9.1,6.2,1,1.6,0,0,0.1,10,0.1
"THARAKA SOUTH",18603,0.1,0.1,43.5,0.3,0.6,1.3,6.6,16.6,9.4,9.7,0.3,0.4,4.3,6.8,0
"MT. KENYA FOREST",71,"-","-","-","-","-","-","- ","-",5.6,71.8,"-","-","-",22.5,"-"
"EMBU",182427,0.7,3,20.1,0.5,0.9,3,3,5.5,20.7,28.6,0.2,1.3,4.5,8.1,0
"EMBU EAST",39586,0.7,0.1,26.4,1,1.1,8.4,3.1,4.6,21.2,23.5,0.1,0.5,1.8,7.4,"-"
"EMBU NORTH",24294,0.1,0,7.4,0,0.2,0.2,0.2,0.2,30,52.6,0,0.3,0.2,8.5,0
"EMBU WEST",43126,0.5,0.1,6.8,0.6,0.5,1.3,1.3,1.1,34.2,43.1,0.4,0.2,2.7,7.3,0
"MBEERE SOUTH",45924,1.1,10.9,29.2,0.2,0.7,2.2,4.4,14.7,6.9,11.8,0.2,3.1,9.2,5.3,0
"MBEERE NORTH",29483,0.7,1,27.4,0.8,2.1,1.6,5.4,2.9,14,20.8,0.1,1.7,7,14.5,0
"MT. KENYA FOREST",14,"-","-","-","-","-","-","- ","-",35.7,64.3,"-","-","-","-","-"
"KITUI",261814,0.7,5.5,42.3,0.9,0.8,6.7,6.2,13.2,2.8,2.3,0.9,2.4,5.9,9.3,0
"IKUTHA",16579,0.4,6.1,47.8,0.2,0.7,6.1,10.4,22.1,0.1,0,0.4,0.8,4.5,0.3,0
"KATULANI",12166,0.1,0.2,80.4,0.2,0.1,3.8,0.7,4.2,1.4,0.6,0.6,3.5,2,2,"-"
"KISASI",10860,0.5,4.8,55,0.7,0.3,11,5.1,11,0.2,0.2,0.3,1.6,6.1,3,0
"KITUI CENTRAL",29026,0.8,0.4,31.6,1.2,1.1,6.2,5.3,5.6,9.6,7.4,3.6,2.6,10.3,14.4,0
"KITUI WEST",17465,0.7,5.1,15.1,1.6,1.4,4.8,3.5,26,4.5,3,1.2,7.1,8.4,17.6,"-"
"KYUSO",15969,2.2,8.3,36.3,1.2,1.1,15,8.6,12,1.2,1.2,0.4,1,1.9,9.5,0
"LOWER YATTA",15021,0.2,3.3,48.4,0.7,0.9,4.2,2.3,23.5,1.9,1.4,0.7,0.9,4,7.3,0
"MATINYANI",11497,0.1,2.5,52.5,0.9,0.8,3.3,4.7,4.1,4.7,3.9,0.3,3.1,5.4,14,"-"
"MIGWANI",18843,0.5,14.9,29.8,0.2,0.4,5.4,3.3,18.3,2.5,2.5,0.4,7.3,3.3,11.2,0
"MUMONI",6451,0,3.5,68.1,0.1,0,3.3,3.4,0.8,1.3,0.6,0,0.7,1.8,16.3,0
"MUTITU",11490,1.1,1.6,57.3,0.5,0.4,8.6,6.7,8.1,1.2,1.7,0.1,0.4,2.4,9.8,0.1
"MUTITU NORTH",4929,0.9,0.1,27.8,0.5,2.7,12.6,10.2,19.1,1.3,1.2,0.4,1.1,3.5,18.5,0
"MUTOMO",23034,0.7,18.2,41.6,1.4,0.7,3.6,5.5,14.6,0.2,0.6,0.9,2.3,6.9,2.8,0
"MWINGI CENTRAL",26745,1.4,4.8,40.8,0.6,0.8,2.8,4.5,6.1,5.5,4.2,0.7,1.2,11.4,15.3,0
"MWINGI EAST",18725,0.3,2.3,40.1,2.3,0.9,5.5,7.6,22.3,0.6,0.5,0.2,0.8,7.1,9.4,0
"NZAMBANI",11276,0.6,1.9,39.3,1,0.9,16.5,10.5,13.6,1.5,1.7,0.9,3.7,4.8,3,"-"
"THAGICU",3289,1.2,0.6,62.9,0.1,0.2,0.3,27.8,0.7,0,0.5,0.1,0.2,0.8,4.6,"-"
"TSEIKURU",8449,0.4,5.7,43.9,0.6,0.6,16.6,15.4,12.5,0.7,0.2,0.4,0.4,0.8,1.9,"-"
"MACHAKOS",399523,0.8,3.9,13.6,3.5,4.1,5.5,4.4,23.2,3.4,3.1,5.7,5.1,16.8,7.1,0
"ATHI RIVER",109723,0.3,0.4,0.4,0.4,0.3,1.5,0.2,17.4,5.3,4.5,14.1,4,42.2,9,0.1
"KALAMA",14137,1.2,16.6,19.2,5.3,7.9,3.5,6.7,13.9,0.2,0.7,1.1,16.5,6.5,0.5,0
"KANGUNDO",26115,1.8,0.3,6,13.4,7.8,12.7,5.5,25.4,1.7,1.1,0.7,8.1,7.5,8,0
"KATHIANI",28730,1.2,4.4,11.9,10.3,17.1,7.3,15.8,19.3,1.2,1.6,0.5,5.7,2.2,1.4,0
"MACHAKOS",50753,0.7,2.1,5.4,3.3,7,8.5,3.5,24.1,4.5,5.6,8.4,6.5,13.3,7,0
