"County/ Sub-County","Conventional Households","Pond(%)","Dam/Lake(%)","Stream/River","Protected Spring","Unprotected Spring","Protected Well","Unprotected  Well","Borehole/ Tube well","piped into  dwelling","Piped to yard/ Plot","Bottled water","Rain/ Harvested water","Water Vendor","Public tap/ Standpipe","Not Stated"
"RONGAI",52248,0.1,3.2,18.4,0.5,0.4,1.4,0.3,11.6,4.4,14.1,1.6,23,14.3,6.6,0
"SUBUKIA",21708,0.2,0.6,32.7,2.7,2.2,17.5,1.6,10.6,4.5,9.3,0.5,7.7,4.1,5.7,0
"NAROK",238115,5.6,7.2,41.3,5.6,6.4,4.3,2.9,4.5,1.5,3.1,1.7,5.6,6.3,3.8,0
"NAROK EAST",24860,11.5,17.7,30.4,1.5,1.1,1.5,2.9,7.2,0.6,0.7,2.1,8.3,11.3,3.1,0
"NAROK NORTH",59802,0.6,1.6,35.4,1.6,1.6,8.2,1.5,6.9,4.1,9.3,4.2,4.1,16.7,4.2,0
"NAROK SOUTH",46549,4.6,4.5,56.1,3.9,6.7,3.3,3.3,3.7,0.8,1.6,0.9,4.4,2,4,0
"NAROK WEST",37782,4.2,7,35.1,14.2,14.1,5,4.6,4.6,0.5,1.1,0.6,5,1.3,2.8,0
"TRANS MARA EAST",20439,26.9,28.2,11,4.3,2,1.5,3.2,1.9,0.2,0.3,0.1,12.5,0.2,7.7,0
"TRANS MARA WEST",48683,2,2.9,57.2,8.3,10.8,2.3,2.8,2.2,0.6,1.1,0.9,4.9,1.4,2.6,0
"MAU FOREST","-","-","#DIV/0!","-","-","-","-","- ","-","-","-","-","-","-","-","-"
"KAJIADO",313218,0.5,2.9,5.2,2,0.8,2,0.8,22.3,7.9,10.1,11.9,1.6,23.3,8.6,0
"ISINYA",71395,0.2,0.8,0.4,1.7,0.1,0.7,0.2,22,5.8,5.4,11.8,1.5,45,4.4,0.1
"KAJIADO CENTRAL",37059,1.1,3.5,5.2,2.5,1.1,1.9,2.4,45.6,1.8,3.6,4.2,1.7,20.6,4.5,0
"KAJIADO NORTH",100908,0,0.2,0.2,0.8,0.1,0.7,0,13.9,12.4,15.4,25,1.7,19.1,10.4,0
"KAJIADO WEST",42367,2,14.4,8.9,1.7,2.1,2.8,1.2,21.6,8,9.7,3.6,2.5,13.5,8,0
"LOITOKITOK",45581,0.1,1.2,20.1,4.9,1.8,6,1.9,21.4,6.1,9.4,0.8,0.5,12.2,13.8,0
"MASHUURU",15908,0.5,3.1,5.2,3.1,0.9,3.2,1.3,27.6,8.6,16,1.2,1.1,16,12.3,0
"KERICHO",205932,0.8,0.9,42.3,7.4,5,6.2,2,4,9.1,10.1,0.2,3.9,2.1,5.8,0
"BELGUT",34978,0.1,0.5,43.2,12.7,7.4,4.8,0.7,2.3,14.7,5.4,0.1,3.3,1.7,3,0
"BURETI",43098,0.7,0.6,50.5,7.4,6.4,4.5,1.2,4.2,5.6,9.1,0.3,5.2,0.4,3.9,0
"KERICHO EAST",44246,0.4,0.3,26.7,5.7,1.9,3.1,0.5,1.8,16.8,23.6,0.3,2.4,4.8,11.6,0.1
"KIPKELION",24676,1.9,1.1,54.1,6.3,5.4,3.4,4.5,2.4,5.5,7.7,0.1,2.2,0.3,5,0
"LONDIANI",31739,0.9,2.7,23.4,5.6,3.5,19.6,5.8,11.7,6.5,5.6,0.3,6.2,2.9,5.1,0
"SOIN SIGOWET",27195,1.2,0.4,65,6.2,6.3,2.6,0.7,2.2,1.4,3.5,0.4,3.4,1.9,4.6,0
"BOMET",187230,7.7,4.2,40.1,5.8,5.4,2.4,1.8,2,5,5.7,0.3,13.8,1.5,4.3,0
"BOMET EAST",29897,2.5,4.3,51.2,9.2,6.8,3.2,2,3.8,1.4,1.3,0.4,9.3,1.1,3.5,0
"CHEPALUNGU",33850,25.2,8.3,22.5,3.2,3.9,1,3.3,0.2,2.3,6.5,0.1,15.1,0.7,7.6,0
"KONOIN",38123,0.3,0.3,48.4,5.1,3.9,2.3,0.5,1.7,16.8,9.2,0.1,5.3,0.5,5.7,0
"SOTIK",47265,8.9,6.3,31.1,5.6,6.7,2.3,2.7,2.1,1.2,4.2,0.3,24.8,1.6,2.2,0
"BOMET CENTRAL",38095,2.2,2,49.9,6.4,5.4,3.1,0.6,2.4,2.9,6.8,0.6,11.2,3.1,3.4,0
"KAKAMEGA",432284,0.9,0.3,18.3,34.6,5.1,16.1,2,10.1,3.1,3.7,0.2,0.7,1,3.8,0
"BUTERE",36243,0.5,0.2,20.1,46.6,4.7,12.1,0.7,7.8,1.7,2.3,0.1,0.3,0.5,2.5,0
"KAKAMEGA CENTRAL",51956,1,0.4,20,17.5,3.5,8.5,0.5,8.2,10.9,12.5,0.7,1.8,3.1,11.3,0
"KAKAMEGA EAST",39589,0.8,0.3,44.9,21.9,3.8,4.7,1,3,4.8,8.8,0.1,0.7,0.6,4.5,0.1
"KAKAMEGA NORTH",50952,1.8,0.2,14.9,33.4,9.6,20.8,3.8,11.6,0.7,0.8,0.1,0.4,0.2,1.6,0
"KAKAMEGA SOUTH",26940,0.5,0.3,39.5,34.5,5.8,6.1,1.2,4,2.1,3.5,0.1,1.2,0.2,1.1,0
"KHWISERO",27681,0.1,0.5,22,59.5,3.5,4.4,0.6,2.3,1.4,2,0.1,1,0.9,1.8,0
"LIKUYANI",34776,1.7,0.2,3.5,10.2,1.8,51.4,3.9,23.7,0.6,0.5,0.2,0.8,0.5,0.9,0
"LUGARI",27817,0.7,0.2,14.5,21.7,2.9,25.8,3.5,23.1,1.2,2.3,0.1,1.6,0.7,1.8,0
"MATETE",13956,0.9,0.2,6.4,39.9,7.5,18.8,4.7,7.1,2.8,2.8,0.1,0.4,1.6,6.9,"-"
"MATUNGU",36414,0.5,0.2,10.5,47.2,4.8,18.1,2.3,12.5,0.6,0.8,0.1,0.1,0.6,1.8,0
"MUMIAS EAST",25995,1.1,0.4,13.7,54.9,4.8,11.4,1,9,0.5,0.4,0.2,0.1,1,1.7,0
"MUMIAS WEST",27650,0.8,0.1,9.9,37.5,3,14.7,1,7.8,7.6,4.9,0.2,0.2,3.2,9.1,0
"NAVAKHOLO",32315,0.6,0.4,10.2,47.3,10.5,13.4,3,9,1,1.4,0,0.2,0.2,2.7,0
"VIHIGA",143288,0.6,0.3,24.8,53.1,4.4,3.6,0.7,2.1,1.5,2.8,0.3,3.3,1,1.6,0
"EMUHAYA",23803,0.1,0,26.1,58.5,4.7,2.9,0.2,2.3,0.5,0.8,0.1,1.8,1.4,0.6,0
"VIHIGA",23359,0.2,0.2,23.9,55.6,3.5,4,0.6,1,1.6,2.9,0.5,3.2,0.6,2.3,0
"SABATIA",31391,0,0.2,15.4,66.6,1.4,3.7,0.2,1,1.8,4.7,0.3,3.2,0.5,1,0
"LUANDA",26766,0.1,0,21.9,58.1,3.3,3.1,0.5,2.9,1.5,2.4,0.3,2.6,2,1.2,0
"HAMISI",37965,1.8,0.7,34.3,33.7,8.2,3.8,1.6,2.9,1.8,2.7,0.2,5,0.7,2.4,0
"KAKAMEGA FOREST",4,"-","-",100,"-","-","-","- ","-","-","-","-","-","-","-","-"
"BUNGOMA",357714,0.8,0.2,9.2,38.3,4.8,15.7,2.7,11.6,3.7,4.8,0.2,0.5,1.7,5.7,0
"BUMULA",44922,1.9,0.2,2,28.2,6.2,26.9,6.4,25.1,0.4,0.5,0.1,0.2,0.3,1.6,0
"BUNGOMA CENTRAL",37535,0.6,0.5,5.8,43.8,3.6,15.5,2.2,11.2,2.2,3.8,0.1,0.4,3.4,6.9,0
"BUNGOMA EAST",24798,0.8,0.1,7,58.3,4.7,7.4,1.2,3.9,3.9,5,0.1,0.5,1.8,5.3,0
"BUNGOMA NORTH",24940,0.4,0.1,3.4,63,3.7,16.7,1.7,5.7,0.7,1.3,0.1,0.5,0.6,2.2,0
"BUNGOMA SOUTH",69088,0.5,0.1,3.9,32.4,3.5,20.3,1.9,13.7,6.9,6.1,0.6,0.5,2.4,7.2,0
"CHEPTAIS",26007,0.9,0.8,41.9,11.9,5.6,2.7,1.1,1,4.5,10.3,0.1,0.2,1,17.7,0
"KIMILILI",35053,1.1,0.2,8.4,51.1,4.9,10.1,0.9,3.8,4.9,7.3,0.2,0.4,3.1,3.6,0
"MT. ELGON",15230,0.5,0.2,32.5,24.6,7.4,3.1,0.9,1.2,7.3,12.8,0.2,0.2,0.4,8.6,0
"BUNGOMA WEST",25166,1.8,0.2,11.5,18.8,7.5,16.1,10,23.4,0.8,1,0.2,2.2,2.2,4.4,0
"TONGAREN",21343,0.1,0.1,5.9,29.7,4.4,29.8,2,22.7,0.7,0.8,0.1,0.8,0.7,2.1,0
"WEBUYE WEST",32834,0.3,0.1,2.4,58.8,3.9,9.7,1.3,5,6.1,6,0.2,0.3,1,4.8,0
"MT. ELGON FOREST",798,"-",0.3,79.1,8.6,11.7,"-",0.4,"-","-","-","-","-","-","-","-"
"BUSIA",197944,0.8,3.4,11.8,17.2,4.6,15.9,3.4,28.6,1.8,3.3,0.5,0.7,2.1,5.8,0
"BUNYALA",19028,0.3,21.6,10.1,0.3,0.2,4.9,2,38.2,1.8,7.5,0.8,2,1.1,9.1,0
"BUSIA",33152,0.6,0.7,17.2,19.8,2.1,21.2,1.1,19.4,3.2,4.5,0.8,0.3,2,7,0
"BUTULA",32199,1,0.4,13.8,32.3,3.8,14.1,1,24.8,1.5,2.2,0.1,0.2,1.5,3.2,0
"NAMBALE",23889,1.2,0.2,7.6,20.6,4.9,20.9,4.3,28,1.5,3.5,0.1,0.2,0.9,5.9,0
"SAMIA",23813,2.1,8,10.7,8.1,1.3,4.5,0.7,48.1,0.9,2.7,0.1,2.8,2.2,7.7,"-"
"TESO NORTH",29314,0.2,0.4,9.8,13.2,9.9,19.3,9.8,26.1,0.7,0.6,0.8,0.5,5.9,3,0
"TESO SOUTH",36549,0.5,0.5,10.8,17.2,7.8,19.7,4.3,25.1,2.5,3.3,0.6,0.1,1,6.4,0
"SIAYA",249341,3.1,13.2,19.9,11.5,3.2,5,1.5,12.9,1.7,3.4,0.4,7.2,4,13,0
"SIAYA",57386,2.6,7.5,24,6.7,2.3,8,3.4,19.1,2.1,3.7,0.5,5.6,4.3,10,0.1
"GEM",44696,0.6,0.8,40.3,26.8,5.1,5.2,0.9,6.8,1.5,2.6,0.2,3.7,1.8,3.7,0
"UGENYA",33554,1.8,2.5,19.6,16.1,6.6,7.3,1.8,32.9,0.9,1.8,0.3,1.6,2,4.8,0
"UGUNJA",26321,0.9,0.6,20.8,25.7,7.3,6.2,1.6,18.8,1.6,3.9,0.2,1.8,4.7,5.9,0
"BONDO",50454,4.2,37.7,8.2,0.4,0.1,0.7,0.1,1.7,2.2,4.7,0.7,9.3,7.2,22.7,0
"RARIEDA",36930,8.3,22.4,4.1,1.4,0.4,2.9,0.5,3.4,1.8,2.8,0.2,20,3.5,28.1,0.1
"KISUMU",296846,0.9,1.8,14.9,2.3,1,8.3,1,11.4,8.3,10.9,0.9,8.7,7.6,22.1,0
"KISUMU EAST",61499,0.2,0.8,5.2,1.7,0.4,3.3,0.1,2.8,9.5,22.1,0.6,3,11.6,38.6,0
"KISUMU CENTRAL",52163,0.1,0.6,0.3,0.9,0,0.4,0.1,0.6,26.1,17.3,2.7,0.5,17.5,33.1,0
"KISUMU WEST",42785,0.3,2.4,15.1,5.9,2.6,6.4,1.5,10.1,5.3,11.4,0.8,9,7.1,22.1,0
"SEME",29404,0.8,6,32.8,2.2,2.2,10.3,1.8,20.7,0.7,1.2,0.4,14.4,1.6,4.8,0
"MUHORONI",36982,0.7,0.7,27.4,2.1,0.4,18.8,1,23.1,3,2.6,0.3,9.3,2.1,8.5,0
"NYANDO",38460,2.3,2.7,14.3,1.8,0.3,18.1,1.7,22.5,1.9,5.7,0.9,13.4,1.8,12.6,0
"NYAKACH",35553,2.8,1.7,25.5,1.8,1.8,7.5,1.8,11.6,2,3.5,0.4,19.7,3.4,16.6,0
"HOMA BAY",260290,2.9,16.3,20.8,7.3,2.8,7.1,2.2,12.5,1,2,0.7,15.5,3,5.8,0
"HOMA BAY",28471,3,5.5,11.7,2.3,1.1,5.2,1.8,10.9,3.8,9.7,1.8,17.4,12.7,13.1,0
"NDHIWA",47956,5.2,3.4,28,4.4,3.7,10.3,5,20.9,0.4,0.3,0.3,13.6,1.2,3.2,0
"RACHUONYO NORTH",41661,6.9,15.9,16.9,0.8,0.3,5.3,0.3,7.8,0.6,1.2,0.4,34.5,3.1,5.8,0
"RACHUONYO EAST",27229,1.4,0.9,41.8,16,8.2,10.2,2.9,6,0.3,0.5,0.2,8.9,0.5,2.3,0
"RACHUONYO SOUTH",30693,0.7,0.9,20.6,26.3,4.2,9.9,2.3,8.3,1.3,2.2,0.7,10.3,2.3,9.9,0
"RANGWE",26983,1.3,5.6,29.1,9.3,5.3,10,3.7,11.8,0.2,0.4,0.3,20.9,0.8,1.3,0
"SUBA NORTH",29662,0.5,58.8,4.1,0.9,0.2,2.1,0.3,7.9,1.3,2.8,1.3,8.9,2.6,8.3,0
"SUBA SOUTH",27635,0.6,47.7,12.5,2.5,0.5,2.4,0.4,23.4,0.4,0.6,0.9,2.2,2.2,3.7,0
"MIGORI",238133,2.4,7.3,31.2,9.5,6.6,11.1,4.4,8.1,1.2,1.5,1.3,10.4,2,3,0
"AWENDO",27014,1.5,0.9,35.2,10.9,9.1,10.1,3.8,6.6,1.9,1.1,0.8,15.4,1.6,1,0
"KURIA EAST",17267,0.9,1.4,47.3,11.3,11.9,11,7.9,4.6,0.1,0,0.6,2.7,0.1,0.2,0
"KURIA WEST",39723,0.9,1.3,31.3,17.2,8,15.4,6.8,4.9,0.4,0.3,2,10.1,0.3,1,0
"NYATIKE",39358,6.5,31.7,24.3,1.5,0.9,2.9,1.4,10.4,0.5,0.9,1.6,8.5,3.7,5.2,0
"RONGO",29007,1.2,0.9,23.9,14,9.1,17.5,3.4,11.2,0.4,0.6,1.4,15.1,0.3,0.9,0
"SUNA EAST",27214,1.3,0.9,30.5,7.8,7.4,10.2,4.2,7,4.5,6.1,1.6,9.1,3.3,6.2,0.1
"SUNA WEST",28839,2.7,5.9,28.3,3.7,3.3,13.6,2.9,10.7,1.5,2,1.2,12.6,5,6.6,0
"URIRI",29711,2.6,5.5,37.6,10.1,7,9.4,6.6,8.4,0.6,0.9,0.3,8.1,1,2,0
"KISII",307254,0.3,0.2,38.6,40.5,7.5,3,0.9,1.1,1,1.1,0.6,3.8,0.5,1,0
"ETAGO",18610,0.2,0.1,41.5,35.5,11,2.1,2.1,1.1,1.1,1.7,0,1.1,0.7,1.7,0
"GUCHA",19621,0.3,0.3,37,49.4,5.2,2.8,0.4,0.2,0.6,1.2,0.2,2.1,0.1,0.3,0
"GUCHA SOUTH",19627,0.3,0.3,32,49.4,6.8,2.3,0.4,1.4,0.7,1.2,0.1,2.9,0.5,1.7,0
"KENYENYA",30985,0.2,0.2,32.5,45.5,11.1,3.4,1.4,1.3,0.4,0.4,0.1,1.4,0.3,1.9,0
"KISII CENTRAL",44037,0.2,0.1,43.8,30.1,4.9,2.6,0.5,1.5,3.5,3.9,1.4,3.5,1.4,2.5,0
"KISII SOUTH",31574,0,0.1,32.7,48.5,8.5,3.4,1.2,1.1,0.2,0.1,0.6,3.4,0.2,0,0
"KITUTU CENTRAL",41233,0.4,0.2,36.3,40.9,2.2,4.4,0.4,1.9,1.4,0.8,2.2,6.7,1,1.1,0
"MARANI",26133,0.1,0.1,38.5,51.7,5.4,1.3,0.3,0.3,0.1,0.1,0,1.7,0.2,0.2,0
"MASABA SOUTH",29206,0.3,0.1,50.2,24.2,8.1,3.1,1.2,1.1,0.5,0.4,0.1,10.1,0.3,0.3,0
"NYAMACHE",30583,0.9,0.6,42.3,33.4,14.5,2.8,1,0.7,0.2,0.4,0.1,2.7,0.2,0.3,0
"SAMETA",15645,0.2,0,32.1,52.3,7.8,3,1.1,0.3,0.3,0.2,0.1,2.4,0,0.1,0
"NYAMIRA",150499,0.5,0.5,36.6,36.4,9.4,3.9,1.2,1,0.9,1,0.3,7.4,0.4,0.6,0
"BORABU",19404,0.9,2.3,31,12.4,8.3,3,0.7,1.2,2.7,3.6,0.5,30.3,0.9,2.2,0
"MANGA",23836,0.9,0.1,43.9,41.5,6,2.7,0.3,0.5,0.3,0.6,0.1,2.7,0.4,0.1,0
"MASABA NORTH",27904,0.1,0.1,27,47.5,8.6,4.7,1.3,1.4,0.7,1,0.4,6.6,0.2,0.4,0
"NYAMIRA NORTH",40396,0.4,0.2,42.4,33,12.2,5.4,1.6,1.2,0.1,0.1,0.1,2.8,0.3,0.2,0
"NYAMIRA SOUTH",38959,0.7,0.4,35.9,40.8,9.7,3.1,1.3,0.7,1.5,0.8,0.3,4,0.3,0.4,0
"NAIROBI CITY",1494676,0,0.1,0,0.5,0,0.5,0,4.3,22.7,28.4,8.6,0.3,15.4,18.9,0.1
"DAGORETTI",154949,0,0.1,0,0.5,0.1,2.6,0.1,13.1,9.4,24.2,5.1,0.2,25.2,19.4,0.1
"EMBAKASI",346462,0,0.1,0.1,0.5,0,0.3,0,4.7,22,23,15,0.1,20,14.2,0
"KAMUKUNJI",83680,0,0.6,0,0.2,0.1,0.5,0,1.6,26.9,28.6,5.2,0,10.2,25.9,0.1
"KASARANI",268611,0,0.1,0,0.5,0,0.1,0,1.7,34.8,33.9,5.5,0.1,7.1,16,0
"KIBRA",61651,0,0,0,1.4,0.1,0.3,0,1.3,11,20.6,3.8,0.1,16.1,45.1,0
"LANG'ATA",60187,0.2,0.2,0,0.2,0,0.3,0,8.6,26.2,11.5,18.7,0.2,11.7,22.2,0.1
"MAKADARA",70080,0,0.2,0.1,0.1,0.1,0.1,0.1,0.5,18.8,21.6,3.3,0.2,28.1,27,0
"MATHARE",74967,0,0,0,0.3,0,0.1,0,0.3,10.1,41.9,0.8,0.1,19.3,27,0.1
"NJIRU",204492,0,0.1,0,0.4,0,0.3,0,5.6,21.8,39.8,5.3,1.8,14.6,10.2,0.1
"STAREHE",66108,0,0.2,0,0.5,0,0.2,0,2.3,27.4,23.8,9.2,0.1,10,26.1,0.1
"WESTLANDS",103489,0,0.2,0.1,1.1,0,0.3,0,2.5,25.5,28.3,15.6,0.1,6.4,19.8,0
