County/ Sub-County,Conventional Households,"Main Collected by
County
Government","Collected by
Community
Association
(CBOs Youth
Groups Faith
based
organizations)","Collected by
private company ","Dumped in the
compound","Dumped in
the street/
Vacant plot/
Drain/
Waterways","Dumped in
the Latrine","Burnt in
open",Buried,Composit pit,Burnt in pit,Not stated
KENYA,12043016,6.3,6.9,8.8,8.4,2.4,3.6,27.1,3.2,18.4,14.9,0
Rural,7379282,0.7,0.1,0.7,11.7,1.1,4.3,33.7,4.8,25.1,17.9,0
Urban,4663734,15.3,17.5,21.8,3.2,4.4,2.5,16.5,0.8,7.8,10.1,0
MOMBASA,376295,5.6,36.7,19.5,3.9,5.2,2.6,16.1,0.6,4.9,4.9,0
CHANGAMWE,46439,6.8,50.4,14.6,3.2,6.6,2.2,9.5,0.5,3.2,3.1,0
JOMVU,53214,2.5,27.8,8.4,5.1,6.6,1.3,27.7,0.8,10.4,9.3,0
KISAUNI,88159,4,28.7,17.3,4.9,5.5,2.7,23.6,0.7,4.7,8,0
LIKONI,80002,6.3,47.3,8,3.6,2.9,3.8,17.8,0.8,5.2,4.4,0
MVITA,38710,13.7,30.4,37.6,3,6.8,1.8,3.4,0.2,1.6,1.4,0.1
NYALI,69771,4.1,36,36.8,3.2,4.4,3,7.1,0.5,3.4,1.5,0
KWALE,172802,5.2,1.1,1.2,20.9,2,4.4,33.2,2.7,12.4,16.7,0
KINANGO,16041,0.2,0,0.1,36.3,2.2,3.1,29.7,1.9,15.8,10.6,0
LUNGALUNGA,37276,0.9,0.1,0.4,22.7,2.4,8.2,33.1,5.1,14,13.2,0
MATUGA,39124,2,0.3,0.1,22.1,0.9,3.6,32.5,1.6,14,23.1,0
MSAMBWENI,45374,16.8,3.9,3.6,9.9,1.8,2,37,1.3,9.6,14.1,0
SAMBURU,34987,0.6,0.2,0.7,24.8,3,5.3,31,3.7,11,19.6,0.1
KILIFI,297990,6.2,2.8,3.9,11.5,1.9,4.7,34.8,2.7,12,19.4,0
CHONYI,11416,0,-,0,22.2,1.3,6.3,35.4,1.4,17.7,15.7,-
GANZE,23197,0.3,0,0,21.8,0.6,4.5,33.2,3.8,13.1,22.5,0.1
KALOLENI,36344,3.2,0.4,0.8,12.9,1.5,6.8,37.5,4,13.5,19.4,0
KAUMA,3479,0.1,0,0.2,13.3,2.1,7,41,3.7,14.2,18.5,-
KILIFI NORTH,39508,12.7,2.7,2.2,9.6,1.4,3.8,35.3,1.7,10.4,20.4,0
KILIFI SOUTH,53011,7.3,7.3,12.7,6.5,1.8,2.6,36.2,1,9,15.7,0
MAGARINI,32978,1.1,0.1,0.2,17.5,1.6,4.7,37,5.3,16,16.5,0
MALINDI,73317,9.4,4.6,4.7,8.4,3.2,4.8,34.7,2.7,9.7,17.8,0
RABAI,24740,4.5,0.2,0.9,9.8,1.9,6.7,24.5,1.8,15.8,33.8,0
TANA RIVER,66984,0.7,0.5,0.6,10.5,2.6,4.6,49.4,9.8,7.5,13.6,0.1
TANA DELTA,22395,0.1,0.1,0.1,12.2,3,2.8,51.9,9.2,9.4,11.3,0
TANA NORTH,26119,1.5,0.6,1,10.1,2.1,7.2,46.8,13.8,4.9,11.9,0
TANA RIVER,18470,0.5,0.8,0.7,9.2,2.8,2.9,50.2,4.9,8.8,19,0.1
LAMU,34231,3.8,2,1.3,16,6.4,4.5,38.9,3.3,9.7,14,0
LAMU EAST,4476,8.5,1,0.1,16.1,14.1,8.6,32.8,1,9.7,8.2,-
LAMU WEST,29755,3.1,2.2,1.5,16,5.3,3.9,39.8,3.7,9.7,14.8,0
TAITA/TAVETA,94468,5.9,0.6,0.9,9.6,1,3.7,26.1,1.4,13,37.7,0
MWATATE,23184,1,0,0.5,13,0.3,3.1,16.1,1.2,19.2,45.5,0
TAITA,14985,2.2,0,0.3,17.6,0.2,1.8,18.8,2.5,24.9,31.6,0
TAVETA,23417,5.1,0.4,1,6.3,0.7,5.9,33.8,1.8,6.4,38.6,0
VOI,32882,11.7,1.5,1.3,5.9,2.3,3.4,31,0.7,7.8,34.4,0
GARISSA,138940,6.1,1,3.5,8.1,1.6,10,45.6,11.4,5.3,7.3,0
BALAMBALA,3986,2.4,0.8,2.4,8.6,0.7,5,44.9,22.3,5.6,7.4,-
DADAAB,35169,2.9,0.6,3.1,8,1.2,15.2,43,15.6,3.8,6.6,0
FAFI,23351,3.9,2,2.3,7.9,2.7,7.1,44.7,13.3,5.6,10.4,0
GARISSA,29790,18.3,1.6,9.7,7.8,1.5,13.6,30.8,4.4,4.7,7.6,0.1
HULUGHO,20078,1.8,0.1,0.2,5.8,0.3,2.7,66.4,9.1,8.5,5.1,0
IJARA,18296,2.7,0.9,1,11.1,2.4,7.9,48.6,11.7,6.3,7.1,0
LAGDERA,8270,1.4,0.9,0.2,9.2,2.1,7.6,56.3,13.7,3.2,5.4,-
WAJIR,126878,5.7,0.5,1.6,5.3,1.3,8.4,43.5,24,3.4,6.2,0
BUNA,6480,1.6,0,0.2,9.9,2.2,6.3,45.4,23.1,6.7,4.6,-
ELDAS,13862,3.7,0.3,2.3,3.4,1.2,11,33.8,37.3,4.1,2.9,-
HABASWEIN,31113,2.7,0.7,0.6,8.2,1.2,10.7,53,11.5,3.3,8,0
TARBAJ,9241,1.1,0.1,0.2,1.3,1.3,7.3,43,36.6,3.6,5.5,-
WAJIR EAST,18282,23,0.7,7.4,5.1,1.7,6.9,22.2,26.3,1.6,5.1,0
WAJIR NORTH,10478,4.7,0.3,0.3,6.9,2.8,8.8,52.1,11.2,4.5,8.3,-
WAJIR SOUTH,21149,1.3,0.9,0.3,3.5,0.1,7.3,51.3,24.6,2.6,8.2,0
WAJIR WEST,16273,3.9,0.1,0.6,3.6,1.8,6.3,41.1,34.9,3.7,4,-
MANDERA,123954,9.1,0.3,0.4,5.5,1.5,7.5,58.1,8.7,2.9,5.9,0
MANDERA WEST,14201,2.2,0.4,0.4,6.3,0.6,6.3,66.3,8.2,4.1,5.2,0
BANISA,24000,3.3,0.4,0.5,5.7,1.8,6.6,61,12.4,3.3,5,0
KOTULO,9342,14.9,0.1,0.1,9.1,1.4,7.1,57.4,5.8,2.2,2,-
LAFEY,11380,5,0.1,0.7,4.5,0.6,6.1,67,8.7,3.6,3.8,-
MANDERA CENTRAL,20795,4,0.2,0.4,5,1.5,12.7,63.4,8.6,1.4,2.7,0.1
MANDERA EAST,25206,27.9,0.6,0.7,3.3,1.5,7.5,38.5,6.3,3.2,10.6,-
MANDERA NORTH,19030,2.2,0,0.1,7.3,2.7,5.1,63.2,8.9,2.5,8,-
MARSABIT,76689,5.2,0,0.4,10.4,1.8,5,46.3,7.8,3.9,19,0.1
LOIYANGALANI,7646,0,-,0,14.1,1.6,3.1,53.1,14,2.6,11.4,-
MARSABIT CENTRAL,15658,11.6,0.2,1.9,5.3,0.8,5.5,33.9,1.9,4,35.1,0
MARSABIT NORTH,7468,0.1,-,0.1,15.2,5.9,4.3,57.7,1.8,1,13.8,-
MARSABIT SOUTH,11563,0.1,0,0,12.1,1.8,2.1,53.6,16,4.5,9.7,0
MOYALE,17591,11.9,0,0.1,4.9,1.6,6.4,45.8,3.4,4,21.7,0
NORTH HORR,9601,0.1,0,0,21.9,1.5,2.2,51.7,13.7,0.6,7.7,0.4
SOLOLO,7162,0.8,-,0.2,8,0.9,11.2,36.2,10.4,11.4,21,0
ISIOLO,53217,4.7,1.4,6.3,4.1,1.2,5.4,42.6,6,4.2,24.1,0
GARBATULLA,17047,0.4,0.6,0.6,4.6,0.9,5.6,50.5,8.8,4.2,23.8,0
ISIOLO,27612,8.4,2.3,11.8,4.4,1.4,5.3,37,2.4,4.7,22.2,0
MERTI,8558,1.4,0,-,2.3,1.1,4.8,45.1,12.1,2.5,30.7,-
MERU,423931,4.6,0.2,0.6,13.4,0.7,5.2,27.8,2.7,28.1,16.7,0
BUURI EAST,23737,2,0,0.1,8.6,0.9,3.8,27,3.1,21.8,32.6,0
BUURI WEST,27905,2.8,1.1,1.9,4.6,1.2,1.5,24.3,1.9,29.2,31.4,0
IGEMBE CENTRAL,51848,0.9,0,0.2,18.8,0.5,5.3,44,3.2,20.1,6.9,0
IGEMBE NORTH,38716,1.9,0,0.2,15.8,0.7,8.3,35.9,4.9,24.3,8.1,0
IGEMBE SOUTH,43222,11.5,0.4,0.4,18.8,0.5,8.2,26.3,2,23.4,8.4,0.1
IMENTI NORTH,57556,15,0.1,1.1,7.8,0.7,3.8,18.3,1.4,26.2,25.6,0
IMENTI SOUTH,63954,3.5,0.3,0.8,10.7,0.1,6.2,18.2,2.1,41.5,16.5,0
MERU CENTRAL,39498,1.6,0.1,0.3,13.8,0.6,5.3,26,2,29.7,20.6,0
TIGANIA CENTRAL,24983,0.4,0.4,1.4,22,1.1,2.9,33.8,3.5,25,9.4,0
TIGANIA EAST,16791,1,0,0.8,10.8,0.4,2.8,26.3,4.5,36,17.3,0.1
TIGANIA WEST,35402,0.3,0,0.3,15.4,1.3,5.2,31.3,2.8,28.4,15,0
MERU NATIONAL PARK,46,-,-,-,-,-,-,34.8,-,-,65.2,-
MT. KENYA FOREST,273,0.7,-,3.3,2.6,-,1.8,26,13.2,12.5,39.9,-
THARAKA-NITHI,109450,4.4,0.1,0.2,15.8,0.5,4.3,34.8,2,19.2,18.7,0
IGAMBANG'OMBE,14383,1.2,-,0.1,26.4,0.9,1.9,34.9,2.3,15.8,16.5,0
MAARA,34779,3.9,0.3,0.4,14.5,0.2,3.6,33.3,1.7,24.4,17.7,0
MERU SOUTH,28211,10.4,0,0.4,17,0.6,2.2,28.3,1.8,23.1,16.2,0
THARAKA NORTH,13403,0.5,-,0,11.3,0.4,13.5,45.9,2.8,8,17.4,0.1
THARAKA SOUTH,18603,1.5,0,0.1,11.5,0.7,3.7,39.2,2,14.6,26.7,0
MT. KENYA FOREST,71,-,-,-,-,-,50.7,5.6,-,33.8,9.9,-
EMBU,182427,4.4,1.3,2.3,11.4,0.8,3.9,28.6,2,24.1,21.1,0
EMBU EAST,39586,0.8,0.7,1.9,15,0.5,5.9,23.9,2.7,32.8,15.8,-
EMBU NORTH,24294,1.4,0.7,1.7,9.3,0.5,3.6,15.5,2.4,53.3,11.6,0
EMBU WEST,43126,16,4,6.6,10.7,1.7,4.5,19.6,0.9,21.3,14.7,0
MBEERE SOUTH,45924,0.8,0.3,0.5,11.4,0.7,2.4,41.9,2.6,10.1,29.4,0
MBEERE NORTH,29483,0.3,0,0.1,9.6,0.3,3,38,1.8,14.5,32.4,0
MT. KENYA FOREST,14,-,-,-,-,-,-,-,-,85.7,14.3,-
KITUI,261814,3.8,0.1,0.3,13,1.3,6.1,38.3,3.1,11.3,22.8,0
IKUTHA,16579,0.4,-,0.2,10,0.5,6,42.4,2.6,6.9,31,0
KATULANI,12166,0.2,0.1,0.1,14.7,0.1,4,36.9,2.7,16,25.2,-
KISASI,10860,0.8,-,0.2,31.8,0.5,1.5,37.3,1.4,9.7,16.7,0
KITUI CENTRAL,29026,15.6,0.1,0.4,13.4,2,4.1,26.5,1.9,17,18.9,0
KITUI WEST,17465,1.7,0,0.1,11.3,0.2,5.9,33,4.2,18.9,24.6,-
KYUSO,15969,1.5,0,0.1,9.8,1.4,10.6,48.6,3.9,4.7,19.4,0
LOWER YATTA,15021,1.9,0.4,0.1,10.9,1.6,5.7,40.3,4.6,14.3,20.2,0
MATINYANI,11497,0.5,-,0.1,12.4,0.3,5.1,26.5,1.2,30.6,23.4,-
MIGWANI,18843,0.4,0,0.1,13.8,0.1,3.2,33,1.9,17.7,29.7,0
MUMONI,6451,0.1,-,0.2,12,1.4,12,48.2,3.4,4.3,18.5,0
MUTITU,11490,0.5,0,0.3,16.6,1.9,6.4,46.2,6.3,5.9,15.6,0.1
MUTITU NORTH,4929,0.1,0.3,0,13.2,1,3.4,48.1,1.4,5.5,27,0
MUTOMO,23034,2.6,0.1,0.1,13,1,4.9,40.5,4,6.9,27.1,0
MWINGI CENTRAL,26745,12.8,0.1,0.8,9.1,3.6,8.6,39.3,3.4,5.1,17.1,0
MWINGI EAST,18725,0.1,0,0.1,13.3,1.6,6.4,45.3,2.9,4.5,26,0
NZAMBANI,11276,0.7,0,0.9,18.1,0.5,5.1,30.6,1.7,16.1,26.2,-
THAGICU,3289,0,-,-,5.8,0.9,16.1,44.6,3.8,1.8,26.9,-
TSEIKURU,8449,1.2,-,0.2,6.2,0.7,10.4,50.1,4.4,6.2,20.6,-
MACHAKOS,399523,7.4,1.6,9.7,7.4,2.4,3.8,23.1,1.6,27.2,15.8,0
ATHI RIVER,109723,16.4,5.4,32.3,4.2,6.7,3.2,19.2,0.6,3.9,8.1,0.1
KALAMA,14137,0.1,0,0.2,6.8,0.1,3.9,19.2,2.9,48,18.7,0
KANGUNDO,26115,2.1,0,0.2,3.6,0.1,3.1,13.6,1.8,62.4,13,0
KATHIANI,28730,1.7,0,0.2,14,0.6,2.2,14.2,1.5,51.5,14.2,0
MACHAKOS,50753,12,0.6,3.5,7.6,1.8,2.6,22.5,1.9,22.4,25,0
MASINGA,36196,0.2,0,0.6,13,0.2,8.7,33.6,2,19.1,22.6,0
MATUNGULU,44399,6.2,0.3,1.5,6.3,0.8,2.8,24,1.8,39.5,16.8,0
MWALA,45809,0.7,0.1,0.4,6.8,0.7,3.6,23.9,1.4,46,16.3,0
YATTA,43661,3.2,0.1,0.3,10.1,1,5.1,36,2.7,22.4,19.2,0
MAKUENI,243979,4,0.1,0.3,13,0.4,5,28.6,1.8,23,23.9,0
KATHONZWENI,18362,1,0,0.1,14.4,0.3,2.4,35.3,1.2,11.2,34.2,0
KIBWEZI,47594,4.7,0.1,0.3,11.8,0.5,6.3,38.1,1.2,7.1,29.9,0
KILUNGU,14563,0.2,0.1,0.1,26.6,0.1,5,24.4,4.1,33.3,6,0
MAKINDU,21662,3,0.2,0.2,10,0.4,5.6,36.8,1.2,13,29.5,0
MAKUENI,34352,13.1,0,0.6,11.9,0.9,7,20.6,2.3,27.6,16,0
MBOONI EAST,23724,0.4,0,0,19.4,0.3,1.8,21.8,1.9,33.7,20.7,0
MBOONI WEST,24807,0.1,0,0,12.8,0.1,5.9,18.5,1.4,43.4,17.8,0
MUKAA,28109,0.6,0,0.6,7.7,0.3,1.9,30,2.4,30.8,25.5,0
NZAUI,30806,6,0.2,0.1,10.8,0.5,6.1,27.1,1.8,19.7,27.7,0
NYANDARUA,178224,4.4,0.4,1.6,14,1,1,34.4,2.7,12.2,28.4,0
KINANGOP,30847,5.5,0,0.6,9,1,1.4,42.8,1.7,14.4,23.5,0
NYANDARUA SOUTH,25650,8.7,1,3,9.7,0.4,0.8,31.1,2.7,11.2,31.4,0
MIRANGINE,17880,1.2,0,0.4,18.1,0.4,0.6,38.1,2.4,12.9,26,0
KIPIPIRI,25077,2.5,0,0.2,17.6,0.3,1.1,36.8,5.4,14.3,21.6,0
NYANDARUA CENTRAL,21852,6.5,2,6.8,12.2,2.4,0.7,28.3,3.3,9.7,28.2,0
NYANDARUA WEST,29003,3.4,0,0.4,17,1.4,0.6,34.3,2.1,11.1,29.8,0
NYANDARUA NORTH,27906,2.7,0,0.3,15.5,0.7,1.6,28.8,1.7,11.2,37.4,0
ABERDARE NATIONAL PARK,9,-,-,-,-,-,-,-,-,100,-,-
NYERI,244564,11.1,0.3,1.7,9.1,0.4,2.1,27.6,2.2,19.8,25.7,0
TETU,24122,1.4,0,0.1,12.4,0.1,1.4,33.7,2.2,31,17.6,0
KIENI EAST,36751,5.6,0.3,1.9,5.5,0.4,2,30.9,1,10.8,41.5,0
KIENI WEST,27530,1.4,0,0.8,6.2,0.3,2,32.8,3.5,16.5,36.6,0
MATHIRA EAST,33945,16.1,0.2,1.7,9,0.1,2.7,22.8,2,23.6,21.8,0
MATHIRA WEST,18892,0.5,0,0.2,11,0.1,2.6,24.2,5.4,27,28.8,0
NYERI SOUTH,28103,8.3,0.8,2.1,10.6,0.2,1.6,23.4,2.7,33.3,17,0
MUKURWE-INI,27036,0.9,0,0.1,19.2,0.2,2.4,37.3,1.7,17.8,20.3,0
NYERI CENTRAL,48036,33.7,0.4,4.4,4.4,1.3,2.1,20.6,1.1,10.9,21,0
MT. KENYA FOREST,101,-,-,-,7.9,-,-,42.6,6.9,25.7,16.8,-
ABERDARE FOREST,48,-,-,2.1,-,-,-,95.8,2.1,-,-,-
KIRINYAGA,203576,7.2,1.3,3,10.1,1.6,2.2,24.2,1.7,29.7,19,0
KIRINYAGA CENTRAL,40149,10.3,4,8.4,12,0.9,1.4,14.9,1.3,33,13.6,0
KIRINYAGA EAST,44509,5.3,0.8,1.4,9.3,0.4,1.5,14.3,2.4,51.9,12.7,0
KIRINYAGA WEST,37951,8.4,0.3,2.9,12.1,2.3,1.9,23.3,1.3,27.4,20.1,0
MWEA EAST,46331,7.9,0.9,1.9,9.1,3.1,2.8,31,2.1,18.4,22.8,0
MWEA WEST,34613,3.8,0.3,0.2,8.3,1,3.4,39.7,1.3,15.2,26.9,0
MT. KENYA FOREST,23,4.3,-,-,-,-,78.3,-,-,13,4.3,-
MURANG'A,317496,3.9,0.4,1.8,16.6,0.6,2.9,30.4,2.4,23.3,17.8,0
MURANG'A EAST,34650,17.8,0,0.6,17.2,0.7,1.9,30.9,1.1,12.1,17.6,0
KANGEMA,25283,2.2,0.5,1.3,13.9,0.3,2.3,30,2.1,29.5,17.8,-
MATHIOYA,28372,2,0.2,0.6,12,0.3,2.5,35.2,4.2,31.8,11.1,0
KAHURO,26778,1.2,0,0.5,31.7,0.2,1.6,30.7,1.2,21.9,11.1,0
MURANG'A SOUTH,55878,3.2,0.8,2.2,16.8,1.6,4.7,34.6,2.1,15.2,18.8,0
GATANGA,55340,1.6,0.4,4.5,10.4,0.3,3.1,26,2.8,28.4,22.4,0
KIGUMO,40528,2.7,0.5,1.5,21.2,0.7,2,23,2.5,31,14.9,0
KANDARA,50657,1.8,0.3,1.3,14.8,0.4,3.2,33.3,2.6,21.1,21.1,0
ABERDARE FOREST,10,-,-,-,-,-,-,-,-,-,100,-
KIAMBU,792333,10.1,4.6,26,4.1,1.5,1.8,24.8,0.9,9,17.1,0
GATUNDU NORTH,31452,4,0.1,0.7,9,0.3,2.2,33.5,3.2,25.7,21,0
GATUNDU SOUTH,35577,5.7,0.4,0.6,9.2,0.5,3.5,39.6,2.3,19.2,19.1,0
GITHUNGURI,49414,4.4,0.8,3.4,6.2,0.4,3.2,37.1,2.1,19.2,23.2,0
JUJA,104042,11.8,6.2,31.5,3.1,2.8,1.8,25.8,0.3,4.1,12.4,0
KABETE,66681,3.8,2,33.7,2.4,0.3,0.8,26.7,0.3,5.1,25,0
KIAMBAA,80316,6.9,2.2,29.5,4.1,0.4,3.6,26.4,1,10.2,15.5,0
KIAMBU,46816,11.6,2.5,27.7,2.8,0.5,0.7,23.2,0.8,8.3,21.6,0.1
KIKUYU,60619,3.3,1.6,33.2,2.5,0.2,1.2,23.5,1,4.5,29,0
LARI,38585,2.9,0.9,1,11.1,0.6,3.2,28.2,2.3,24.5,25.2,0
LIMURU,49096,7.2,1.6,9.7,3.8,0.8,1.1,28.3,0.9,15.4,31.1,0
RUIRU,127910,13.8,12.3,46.1,2.1,2.7,0.7,14.8,0.2,2.2,5.1,0
THIKA EAST,12736,9,0.7,3.5,5.7,2.5,2.8,34.7,0.2,8.2,32.7,0
THIKA WEST,89089,25.8,8.4,30.8,3.4,3.9,0.9,16.2,0.2,4.1,6.3,0
TURKANA,162627,1.5,0.3,0.5,5,3.4,5.9,51.9,19.5,3.7,8.2,0.1
KIBISH,5699,0,0,0.5,6.5,9.8,0.9,55.7,17.7,2.9,6,-
