"County/Sub County","Total","Farming","Crop Production","Livestock Production","Aquaculture","Fishing","Irrigation"
"KENYA",12143913,6354211,5555974,4729288,29325,109640,369679
"MOMBASA",378422,12497,7218,8749,128,1409,958
"CHANGAMWE",46614,618,230,476,6,62,36
"JOMVU",53472,2418,1168,1810,12,132,209
"KISAUNI",88202,6257,4043,4269,67,492,402
"LIKONI",81191,1863,1136,1282,21,439,143
"MVITA",38995,309,145,209,9,172,32
"NYALI",69948,1032,496,703,13,112,136
"KWALE",173176,108074,100020,72666,220,4452,2438
"KINANGO",16043,13855,13032,10293,7,39,165
"LUNGA LUNGA",37366,29299,27513,19583,94,1879,744
"MATUGA",39231,24689,22882,16311,33,478,505
"MSAMBWENI",45466,14959,12906,9143,51,1254,590
"SAMBURU",35070,25272,23687,17336,35,802,434
"KILIFI",298472,161188,149334,101983,366,6393,5643
"CHONYI",11421,10025,9838,5153,14,30,68
"GANZE",23258,20578,19306,15777,41,158,442
"KALOLENI",36355,22504,21295,14519,34,54,254
"KAUMA",3479,2867,2738,1939,10,60,54
"KILIFI NORTH",39512,18690,17085,12011,30,1021,386
"KILIFI SOUTH",53074,15114,13485,8570,72,878,466
"MAGARINI",33017,25989,24929,15959,75,1884,856
"MALINDI",73547,31072,27424,19363,63,2176,2942
"RABAI",24809,14349,13234,8692,27,132,175
"TANA RIVER",68242,35094,16723,27046,212,2136,4528
"TANA DELTA",22791,15128,8697,11305,116,1475,1089
"TANA NORTH",26886,9397,2803,8021,57,148,1297
"TANA RIVER",18565,10569,5223,7720,39,513,2142
"LAMU",37963,18678,15196,13448,65,3162,1083
"LAMU EAST",5090,1831,1279,1202,4,1729,41
"LAMU WEST",32873,16847,13917,12246,61,1433,1042
"TAITA/TAVETA",96429,56920,48382,43462,275,670,10225
"MWATATE",23698,16123,14021,12325,50,75,1020
"TAITA",15094,12139,11254,9162,89,112,1287
"TAVETA",24115,14591,12053,10851,92,428,7239
"VOI",33522,14067,11054,11124,44,55,679
"GARISSA",141394,47645,4406,46154,1981,1411,1817
"BALAMBALA",4337,1786,428,1653,144,109,220
"DADAAB",35793,9315,410,9128,313,250,86
"FAFI",23671,6556,929,6263,326,263,473
"GARISSA",30518,3335,1032,2849,128,99,488
"HULUGHO",20254,13731,1147,13478,681,448,341
"IJARA",18481,8136,413,8021,311,158,191
"LAGDERA",8340,4786,47,4762,78,84,18
"WAJIR",127932,63433,2484,62695,1272,912,638
"BUNA",6480,3425,77,3407,37,38,7
"ELDAS",13961,6975,513,6776,200,198,114
"HABASWEIN",31292,19731,456,19603,381,213,160
"TARBAJ",9309,4598,114,4543,103,71,36
"WAJIR EAST",18674,3113,193,3039,58,52,51
"WAJIR NORTH",10490,5288,495,5214,51,50,163
"WAJIR SOUTH",21364,11735,252,11663,225,173,67
"WAJIR WEST",16362,8568,384,8450,217,117,40
"MANDERA",125763,62639,15310,60556,1646,1083,5428
"MANDERA WEST",14274,8737,2432,8507,220,149,545
"BANISA",24285,14983,5661,14496,399,248,1310
"KOTULO",9446,6881,267,6826,92,87,55
"LAFEY",11597,7352,418,7240,146,99,82
"MANDERA CENTRAL",21140,8042,395,7954,337,197,131
"MANDERA EAST",25904,7078,2730,6540,194,119,1692
"MANDERA NORTH",19117,9566,3407,8993,258,184,1613
"MARSABIT",77495,39167,2655,38342,163,1295,160
"LOIYANGALANI",7774,4891,70,4886,9,499,4
"MARSABIT CENTRAL",15849,4727,1974,4059,14,27,96
"MARSABIT NORTH",7521,6193,108,6190,7,28,2
"MARSABIT SOUTH",11615,8620,50,8602,19,87,5
"MOYALE",17709,3823,202,3747,7,27,13
"NORTH HORR",9789,7259,18,7238,53,603,5
"SOLOLO",7238,3654,233,3620,54,24,35
"ISIOLO",58072,24271,2780,23348,80,209,1322
"GARBATULLA",18661,9264,1016,8990,47,75,582
"ISIOLO",29853,8600,1485,7989,12,55,649
"MERTI",9558,6407,279,6369,21,79,91
"MERU",426360,274865,250493,201036,1089,1666,51587
"BUURI EAST",23834,18061,16507,14523,56,91,2853
"BUURI WEST",27973,14939,13701,10656,67,83,4742
"IGEMBE CENTRAL",52031,31946,28457,21839,77,147,1943
"IGEMBE NORTH",38871,22743,20589,14190,78,104,345
"IGEMBE SOUTH",43281,21483,19032,13575,88,130,3346
"IMENTI NORTH",57668,27839,24773,20376,115,185,5461
"IMENTI SOUTH",64186,46386,43765,35690,273,416,18096
"MERU CENTRAL",39595,31894,30166,25068,124,236,9992
"TIGANIA CENTRAL",25039,18982,17222,14249,76,100,2332
"TIGANIA EAST",17185,12186,10416,8860,41,52,749
"TIGANIA WEST",36207,28224,25691,21927,93,122,1714
"MERU NATIONAL PARK",207,3,3,"-","-","-","-"
"MT. KENYA FOREST",283,179,171,83,1,"-",14
"THARAKA - NITHI",109860,85767,79228,67964,304,786,7766
"IGAMBANG'OMBE",14398,12254,11495,9640,50,159,999
"MAARA",35041,27526,25577,22505,101,228,4625
"MERU SOUTH",28249,19251,17733,15519,80,139,1138
"THARAKA NORTH",13413,11402,10623,8381,32,63,236
"THARAKA SOUTH",18646,15330,13798,11917,41,196,766
"MT. KENYA FOREST",113,4,2,2,"-",1,2
"EMBU",182743,130990,123265,98446,579,1633,11873
"EMBU EAST",39678,31674,29995,23924,160,234,2595
"EMBU NORTH",24300,18854,17797,13718,90,176,2234
"EMBU WEST",43153,21166,19386,14566,151,220,2231
"MBEERE SOUTH",46065,35511,33684,27304,93,705,2930
"MBEERE NORTH",29528,23785,22403,18934,85,298,1883
"MT. KENYA FOREST",19,"-","-","-","-","-","-"
"KITUI",262942,215322,199459,177701,570,863,6716
"IKUTHA",16679,14236,12055,12419,29,62,582
"KATULANI",12170,10717,10312,8313,29,39,327
"KISASI",10866,9797,9618,7756,15,28,221
"KITUI CENTRAL",29057,17146,16227,11892,47,73,484
"KITUI WEST",17497,15208,14688,12411,21,52,262
"KYUSO",15993,14021,12646,12287,37,65,500
"LOWER YATTA",15454,12281,11395,10349,76,78,618
"MATINYANI",11513,10531,10247,8314,17,27,376
"MIGWANI",19096,17012,16281,14237,27,66,326
"MUMONI",6496,5646,5185,4876,12,27,126
"MUTITU",11521,9766,8461,8551,39,44,348
"MUTITU NORTH",4929,4303,3966,3668,12,12,92
"MUTOMO",23044,19832,18506,16780,54,60,652
"MWINGI CENTRAL",26753,19371,17344,16408,60,61,793
"MWINGI EAST",18730,15945,14231,13810,27,55,350
"NZAMBANI",11276,9189,8728,6611,13,42,394
"THAGICU",3289,2968,2620,2723,4,30,51
"TSEIKURU",8579,7353,6949,6296,51,42,214
"MACHAKOS",402466,231341,217073,176746,564,1834,16642
"ATHI RIVER",109735,13071,9680,9681,63,131,1751
"KALAMA",14182,11334,10682,8859,33,93,422
"KANGUNDO",26142,23045,22600,16919,33,103,1196
"KATHIANI",28730,24578,23760,17370,29,119,2968
"MACHAKOS",50979,26753,25084,18067,41,142,1693
"MASINGA",36251,30328,28120,25112,126,375,1314
"MATUNGULU",44454,29763,27638,21307,76,311,2590
"MWALA",45840,39928,38921,32795,77,243,1609
"YATTA",46153,32541,30588,26636,86,317,3099
"MAKUENI",244669,193531,180639,157946,394,908,15313
"KATHONZWENI",18365,15666,14130,13978,24,60,703
"KIBWEZI",47912,33820,29084,27645,77,166,2036
"KILUNGU",14586,12881,12457,10182,26,71,1659
"MAKINDU",21756,14334,12115,11710,28,151,984
"MAKUENI",34479,26021,25179,20749,84,106,2125
"MBOONI EAST",23734,21461,20939,17985,32,123,1183
"MBOONI WEST",24833,22069,21464,16721,30,57,3248
"MUKAA",28185,22133,21171,18432,36,70,1026
"NZAUI",30819,25146,24100,20544,57,104,2349
"NYANDARUA",179686,140854,135148,110337,250,603,4218
"KINANGOP",30970,23636,22292,18291,28,50,502
"NYANDARUA SOUTH",25822,20400,19621,16405,23,83,196
"MIRANGINE",18816,14488,14078,11271,30,43,237
"KIPIPIRI",25200,21702,20973,17349,38,93,1302
"NYANDARUA CENTRAL",21942,16111,15535,12171,36,83,185
"NYANDARUA WEST",29008,21047,20060,16014,26,100,319
"NYANDARUA NORTH",27917,23468,22587,18834,69,151,1477
"ABERDARE NATIONAL PAR",11,2,2,2,"-","-","-"
"NYERI",248050,164229,154421,122979,760,1264,23545
"TETU",24139,20387,19625,15595,101,155,739
"KIENI EAST",36835,23138,21124,17802,170,185,9435
"KIENI WEST",27619,21942,20488,17108,63,106,3417
"MATHIRA EAST",35044,20473,19174,14460,66,123,4003
"MATHIRA WEST",19020,15919,15242,11854,75,139,2272
"NYERI SOUTH",28228,21243,20337,15458,92,222,1012
"MUKURWE-INI",27040,22973,22075,18730,113,200,1352
"NYERI CENTRAL",49945,18108,16311,11956,80,134,1311
"MT. KENYA FOREST",101,44,43,15,"-","-",2
"ABERDARE FOREST",79,2,2,1,"-","-",2
"KIRINYAGA",204188,139866,130577,97394,702,1796,42309
"KIRINYAGA CENTRAL",40225,27890,25884,19963,154,235,5645
"KIRINYAGA EAST",44571,36150,34695,26424,184,388,7495
"KIRINYAGA WEST",38309,27280,25922,19503,195,484,5012
"MWEA EAST",46340,25729,23390,16853,108,363,12563
"MWEA WEST",34720,22809,20680,14647,61,326,11594
"MT. KENYA FOREST",23,8,6,4,"-","-","-"
"MURANG'A",318105,231400,219973,175123,450,1345,11205
"MURANG'A EAST",34734,21474,20308,16339,58,211,1310
"KANGEMA",25293,20585,19897,15788,35,84,501
"MATHIOYA",28400,23395,22656,18202,43,128,902
"KAHURO",26930,23127,22332,18940,44,103,789
"MURANG'A SOUTH",55998,37654,35260,27467,79,283,2952
"GATANGA",55461,35429,32990,25793,74,234,1791
"KIGUMO",40552,31110,29917,23808,63,119,936
"KANDARA",50704,38624,36611,28785,54,183,2024
"ABERDARE FOREST",33,2,2,1,"-","-","-"
"KIAMBU",795241,214052,177419,147137,417,1317,14835
"GATUNDU NORTH",31472,21532,19457,15368,23,75,716
"GATUNDU SOUTH",35609,25074,23552,17818,62,146,740
"GITHUNGURI",49426,29745,26504,21117,31,113,1734
"JUJA",104301,15859,9564,11395,50,192,1658
"KABETE",66710,15713,11756,10463,32,66,2681
"KIAMBAA",80332,13339,10223,8350,18,68,909
"KIAMBU",47275,10505,7831,6907,28,80,728
"KIKUYU",60686,17693,14832,11772,26,70,876
"LARI",38592,25602,23860,18031,40,72,1219
"LIMURU",49174,19202,16888,12561,25,69,1003
"RUIRU",129470,8590,5013,5960,37,105,1003
"THIKA EAST",12736,4700,3739,3340,17,125,863
"THIKA WEST",89458,6498,4200,4055,28,136,705
"TURKANA",164519,61209,14240,56643,398,4522,4968
"KIBISH",5805,3955,148,3896,18,20,64
"LOIMA",19438,9743,2584,9157,63,91,1072
"TURKANA CENTRAL",38173,11229,2646,10671,120,2659,743
"TURKANA EAST",17981,9618,2845,8759,54,69,1497
"TURKANA NORTH",13119,6956,161,6931,53,1576,45
"TURKANA SOUTH",24552,10257,2979,8703,39,63,1196
"TURKANA WEST",45451,9451,2877,8526,51,44,351
